fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,target_order_id,target_price,packet_ordinal,ts_recv,ts_event,sequence,order_id,action,side,price,size,flags,is_target_identity
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4306,2024-05-02T13:31:15.407911556+00:00,6852097227116,17570.0,2,2024-05-02T13:31:15.407911556+00:00,2024-05-02T13:31:15.407579033+00:00,191032477,6852097227116,C,B,17570.0,1.0,130,True
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,0,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852748719129,T,B,18817.0,3.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,1,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852748719129,F,B,18817.0,3.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,2,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420532,F,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,3,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420581,F,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,4,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420592,F,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,5,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852748719129,T,B,18817.25,3.0,0,True
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,6,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852748719129,F,B,18817.25,3.0,0,True
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,7,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420309,F,A,18817.25,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,8,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420313,F,A,18817.25,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,9,2024-06-05T13:35:51.214274106+00:00,2024-06-05T13:35:51.213985891+00:00,140521957,6852750420319,F,A,18817.25,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,10,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852748719129,C,B,18815.5,6.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,11,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420532,C,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,12,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420581,C,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,13,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420592,C,A,18817.0,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,14,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420309,C,A,18817.25,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,15,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420313,C,A,18817.25,1.0,0,False
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,2628,2024-06-05T13:35:51.214284807+00:00,6852748719129,18817.25,16,2024-06-05T13:35:51.214284807+00:00,2024-06-05T13:35:51.213985891+00:00,140521958,6852750420319,C,A,18817.25,1.0,130,False
