fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,order_id,price,F_qty,C_qty_same_event_order_price,has_C_identity_sibling,F_C_qty_equal,F_minus_C_qty,M_state_reduction_qty,C_state_reduction_qty,total_state_reduction_qty,has_M_or_C_state_reduction,F_state_reduction_qty_equal,F_minus_state_reduction_qty
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,2368,2022-08-09T13:31:07.334789556+00:00,6836240217227,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,9861,2022-08-09T13:31:10.617359933+00:00,6836240239675,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,9861,2022-08-09T13:31:10.617359933+00:00,6836240241030,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,41,2022-08-15T13:33:01.081950051+00:00,6836363043206,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,41,2022-08-15T13:33:01.081950051+00:00,6836363043207,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,41,2022-08-15T13:33:01.081950051+00:00,6836363044450,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,139,2022-08-15T13:33:01.112258502+00:00,6836363044527,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,6799,2022-08-15T13:33:05.276283428+00:00,6836363060053,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,6799,2022-08-15T13:33:05.276283428+00:00,6836363060103,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,6799,2022-08-15T13:33:05.276283428+00:00,6836363060324,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,7191,2022-08-15T13:33:05.573486898+00:00,6836363061647,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,7191,2022-08-15T13:33:05.573486898+00:00,6836363061666,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,7191,2022-08-15T13:33:05.573486898+00:00,6836363061697,13584.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,1,2022-08-17T13:35:59.026700453+00:00,6836414338504,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,32,2022-08-17T13:35:59.056217522+00:00,6836414338527,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,3491,2022-08-17T13:36:00.950748431+00:00,6836414348555,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,3534,2022-08-17T13:36:00.998037059+00:00,6836414348728,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,3688,2022-08-17T13:36:01.093907866+00:00,6836414349214,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,4342,2022-08-17T13:36:01.491570079+00:00,6836414351298,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,5377,2022-08-17T13:36:02.319255275+00:00,6836414353133,13561.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,89,2022-08-31T13:34:01.195368896+00:00,6836759437971,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,89,2022-08-31T13:34:01.195368896+00:00,6836759438342,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,265,2022-08-31T13:34:01.226916933+00:00,6836759438886,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,269,2022-08-31T13:34:01.227131353+00:00,6836759438585,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,4145,2022-08-31T13:34:04.828236145+00:00,6836759452425,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,4145,2022-08-31T13:34:04.828236145+00:00,6836759452442,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,4145,2022-08-31T13:34:04.828236145+00:00,6836759452445,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,4565,2022-08-31T13:34:05.605619741+00:00,6836759454069,12428.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-09-01,LB_20220901_093124_SELL_0002,SELL,B,12159.0,2691,2022-09-01T13:31:26.831300474+00:00,6836806608861,12159.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-09-01,LB_20220901_093124_SELL_0002,SELL,B,12159.0,4126,2022-09-01T13:31:28.335316284+00:00,6836806614905,12159.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-09-01,LB_20220901_093124_SELL_0002,SELL,B,12159.0,4126,2022-09-01T13:31:28.335316284+00:00,6836806614915,12159.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
