feature,mechanism_family,direction_from_old_A_minus_B,coverage_old_pct,coverage_new_pct,auc_old_oriented,auc_new_oriented,p_permutation_new_fixed_direction,auc_2025,auc_2026,auc_BUY,auc_SELL,q_bh_new,stable_univariate_candidate
PeakPositiveDelta,BURST_INTENSITY,-1,100.0,100.0,0.537426408746846,0.37,0.906618676264747,0.2866666666666666,0.5166666666666666,0.4320987654320988,0.6150793650793651,0.9952009598080384,0
PreBurst_Path_Efficiency_10s,BURST_INTENSITY,1,100.0,100.0,0.5382674516400336,0.37,0.9352129574085183,0.46444444444444444,0.08333333333333333,0.35185185185185186,0.39682539682539686,0.9952009598080384,0
PreEntry_Volume_Climax_Ratio_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.6013456686291002,0.36,0.9342131573685263,0.32,0.5333333333333333,0.6666666666666666,0.1984126984126984,0.9952009598080384,0
mean_trade_size,BURST_INTENSITY,-1,100.0,100.0,0.6417157275021026,0.3577777777777778,0.966006798640272,0.33333333333333326,0.2666666666666666,0.09876543209876543,0.5079365079365079,0.9952009598080384,0
Nearest_OR_Edge_Retest_Count_AtEntry,LEVEL_MEMORY,1,100.0,100.0,0.5529857022708158,0.3522222222222222,0.9694061187762447,0.2711111111111111,0.4666666666666666,0.5493827160493827,0.24603174603174605,0.9952009598080384,0
Previous_Delta_AtEntry,BURST_INTENSITY,-1,100.0,100.0,0.6455004205214466,0.3511111111111111,0.883623275344931,0.3866666666666666,0.36666666666666664,0.5185185185185186,0.32539682539682535,0.9952009598080384,0
Delta_AtEntry,BURST_INTENSITY,-1,100.0,100.0,0.43818334735071485,0.34222222222222226,0.9252149570085982,0.28444444444444444,0.6333333333333333,0.5185185185185185,0.46031746031746035,0.9952009598080384,0
Profile_Position_Percentile,AUCTION_CONTEXT,-1,100.0,100.0,0.5349032800672835,0.3333333333333333,0.9468106378724255,0.24444444444444446,0.4666666666666667,0.32098765432098764,0.5555555555555556,0.9952009598080384,0
Dist_POC_Ticks,AUCTION_CONTEXT,-1,100.0,100.0,0.4440706476030278,0.3288888888888889,0.9262147570485902,0.2622222222222222,0.6666666666666666,0.5123456790123457,0.43253968253968256,0.9952009598080384,0
Delta1s,BURST_INTENSITY,-1,100.0,100.0,0.520605550883095,0.31777777777777777,0.9562087582483503,0.24444444444444446,0.5666666666666667,0.45679012345679015,0.4126984126984127,0.9952009598080384,0
Delta5s,BURST_INTENSITY,-1,100.0,100.0,0.4974768713204373,0.31666666666666665,0.9624075184963007,0.22666666666666666,0.6666666666666666,0.2839506172839506,0.5198412698412698,0.9952009598080384,0
Dist_VAH_Ticks,BURST_INTENSITY,-1,100.0,100.0,0.47434819175777965,0.3144444444444444,0.9568086382723455,0.2288888888888889,0.4666666666666666,0.3888888888888889,0.42063492063492064,0.9952009598080384,0
Delta2s,BURST_INTENSITY,-1,100.0,100.0,0.4844407064760303,0.31222222222222223,0.9632073585282943,0.24666666666666665,0.5666666666666667,0.38888888888888884,0.4365079365079365,0.9952009598080384,0
DeltaChange1s,BURST_INTENSITY,-1,100.0,100.0,0.5504625735912532,0.3088888888888889,0.9672065586882623,0.23111111111111107,0.5666666666666667,0.47530864197530864,0.36904761904761907,0.9952009598080384,0
Previous_Volume_AtEntry,BURST_INTENSITY,-1,100.0,100.0,0.5878889823380993,0.2888888888888889,0.989002199560088,0.2533333333333333,0.3333333333333333,0.46913580246913583,0.15873015873015872,0.9952009598080384,0
BuySellRatio,BURST_INTENSITY,-1,100.0,100.0,0.6307821698906644,0.28888888888888886,0.9924015196960608,0.2533333333333333,0.3333333333333333,0.37037037037037035,0.3650793650793651,0.9952009598080384,0
CumulativeDeltaWindow,BURST_INTENSITY,-1,100.0,100.0,0.507569386038688,0.2833333333333333,0.9794041191761648,0.21777777777777774,0.6666666666666666,0.25308641975308643,0.42063492063492064,0.9952009598080384,0
Delta3s,BURST_INTENSITY,-1,100.0,100.0,0.507569386038688,0.2833333333333333,0.9782043591281744,0.21777777777777774,0.6666666666666666,0.25308641975308643,0.42063492063492064,0.9952009598080384,0
Seconds_From_Open_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.5988225399495374,0.2733333333333333,0.9938012397520496,0.22666666666666666,0.3,0.5432098765432098,0.13492063492063494,0.9952009598080384,0
DeltaChangeZScore,BURST_INTENSITY,-1,100.0,100.0,0.5744322960470984,0.23777777777777778,0.9952009598080384,0.19555555555555554,0.4333333333333333,0.3827160493827161,0.17460317460317462,0.9952009598080384,0
