ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
85,HB085,649aa6a136fd185f726e67b22663a6abe5f56e3de191518b4f12112ef3dfabd1,8c5ddd57eebe543415324cf30c203d581e3fa6bfdce3312a8f2a0c5e85e5a67b,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
86,HB086,6aa048f23603f846bdefcc9e9284368571128933f85e63866c56fc80213f1f7c,184d27ef54374cf31aa07e2101e9069bdfd7c0eee36bda434a221b6bd7ab6e72,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
87,HB087,adf003ce1c70789b048e24e0b418578181f5da6d7de0f6ba96f9d24ff4c6096e,cf9e986ffa73922c0aed7eeb94961a0aa7000d9818bd9af7caa9a4764e498c8f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
88,HB088,43554a5fd94bbbce930485adc7247a94e8112bc7b64c6ddcc623c06561c3bdb5,758fa10c7a67bcdc06ce30ae40b159052ce0e143a94f5915db8922310a81f448,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
89,HB089,b75755654276babce605c0df74917ff810f21680ba15d7a3a41cb7c5a3b88e56,1636b19461e05e560f5f19dc26f777159a5d03e7bb8da2421ca62b36ec6ddabf,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
90,HB090,a2ff1eb572a445c2ddca0065ea51b52aafcb753bffe7566982c55ded142cf542,685e70cf30ea1d93d126095b2bf6be8eb21f1cebabe30526f91be3a349f314dc,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
91,HB091,dd9b22ac57d064b01f5e2ae5fd30ba6a78ae9135aec7d6ceee28b49c968f1f9f,66888cbaf47532a36c8896bec776eeb3ff39cbc7cbd74f494d5c899846531941,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
92,HB092,e504cd844b69a5a9d0398b214e939daab4f615ecadb06c8d9cbefed62c0d0d65,53ffeaa1b526e4df3f6dcaddbd6788f8b4f0e9e7c14e85a6aa3d8e27ad05342f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
93,HB093,231575524dfa42b5642c18d822187056abac6e41b45861df2946a967b64e8d37,9378c72f0a57a7e2fde4cf9c93456a6c64bcbf8779d26eb478e50157698dee6a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
94,HB094,53aeb03a5f4a362e978f593fb8a96aa9a05c807efdb57d8f080889b1a94ec54c,b78080d8123944972343694cce1cecd640ec40b99c3f5c545a2e28b8cab97b5b,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
95,HB095,faf947491ffe1fb56c1ab81edc690c0c847b5daf695a40b61d427f583a0d85c9,ce03f0eec18325dd775a565fb2f38dcd39a2a9d4e90dd569beb12870d3540043,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
96,HB096,cb88d568012738f3eb42d8d2eb3199cf276d49ef65f839f8fbf626a63bcaff7e,d2e20e7ed8d9d6c69e5e01f9d178d3fcfb5a8fb0b5928e18f373466e02ecf460,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
97,HB097,31c4a99c28809a320e9dbbaf23861834452b58ecc52bae83dc741855f694418e,d956e066f02838c758afa5ba9352734afeec3066af3e7f30e193201d1ea35d4f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
98,HB098,973f9b3980f9e4006b0263b0e15c01d3a2d72fc14315505e98376adfaf3fbfaf,f8ff6a9c16b54b25958fc697a2f8431ff13b9c1cef420e7b23ee21f57d810773,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
