fecha,BurstId,prediction_timestamp,burst_event_timestamp,burst_timestamp,split,family,family_reason,ExecutionSide,BurstSide,Entry_price,Initial_SL_ticks,Initial_TP_ticks,Result_Label,result TP SL BE,MAE_ticks,MFE_ticks,ExitTime_NY_Milliseconds,causal_row_flag,canonical_source_file,Signal_Source,Liquidity_Burst_ID_AtEntry
2022-10-18,LB_20221018_093155_SELL_0001,2022-10-18 13:31:56.038000+00:00,2022-10-18 13:31:55+00:00,2022-10-18 13:31:56+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,11400.0,60,60,TP,+30,0,55,09:32:03.990,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-18_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221018_093155_SELL_0001
2022-10-25,LB_20221025_093119_BUY_0001,2022-10-25 13:31:20.076000+00:00,2022-10-25 13:31:19+00:00,2022-10-25 13:31:20+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,11552.5,60,60,SL,-60,60,5,09:32:46.114,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-25_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221025_093119_BUY_0001
2022-10-26,LB_20221026_093108_SELL_0002,2022-10-26 13:31:09.077000+00:00,2022-10-26 13:31:08+00:00,2022-10-26 13:31:09+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,11435.0,60,60,TP,+60,0,60,09:31:47.164,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-26_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221026_093108_SELL_0002
2022-10-27,LB_20221027_093628_SELL_0001,2022-10-27 13:36:29.053000+00:00,2022-10-27 13:36:28+00:00,2022-10-27 13:36:29+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,11396.25,60,60,TP,+60,0,60,09:36:43.962,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-27_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221027_093628_SELL_0001
2022-10-28,LB_20221028_093127_BUY_0001,2022-10-28 13:31:28.046000+00:00,2022-10-28 13:31:27+00:00,2022-10-28 13:31:28+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,11252.5,60,60,SL,-60,60,0,09:32:17.109,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-28_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221028_093127_BUY_0001
2022-11-03,LB_20221103_093349_BUY_0001,2022-11-03 13:33:50.021000+00:00,2022-11-03 13:33:49+00:00,2022-11-03 13:33:50+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,10846.25,60,60,TP,+60,10,60,09:34:40.747,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-11-03_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221103_093349_BUY_0001
2023-03-21,LB_20230321_093130_BUY_0001,2023-03-21 13:31:31.049993+00:00,2023-03-21 13:31:30+00:00,2023-03-21 13:31:31+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,12801.25,60,60,SL,-60,60,0,09:32:10.416,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-03-21_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230321_093130_BUY_0001
2023-03-28,LB_20230328_093202_SELL_0001,2023-03-28 13:32:03.022952+00:00,2023-03-28 13:32:02+00:00,2023-03-28 13:32:03+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12748.75,60,60,SL,-60,60,0,09:33:04.271,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-03-28_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230328_093202_SELL_0001
2023-04-03,LB_20230403_093250_BUY_0001,2023-04-03 13:32:51.099847900+00:00,2023-04-03 13:32:50+00:00,2023-04-03 13:32:51+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,13217.5,60,60,SL,-60,60,15,09:33:50.271,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-04-03_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230403_093250_BUY_0001
2023-04-04,LB_20230404_093600_SELL_0001,2023-04-04 13:36:01.053737900+00:00,2023-04-04 13:36:00+00:00,2023-04-04 13:36:01+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,13271.25,60,60,TP,+60,0,60,09:37:22.128,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-04-04_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230404_093600_SELL_0001
2023-04-17,LB_20230417_093332_BUY_0001,2023-04-17 13:33:33.085219900+00:00,2023-04-17 13:33:32+00:00,2023-04-17 13:33:33+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,13172.5,60,60,TP,+30,0,40,09:34:16.416,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-04-17_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230417_093332_BUY_0001
2023-04-19,LB_20230419_093353_SELL_0001,2023-04-19 13:33:54.064843900+00:00,2023-04-19 13:33:53+00:00,2023-04-19 13:33:54+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,13105.0,60,60,TP,+60,0,60,09:34:35.504,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2023-04-19_NY.csv,LIQUIDITY BURST ABSORTION,LB_20230419_093353_SELL_0001
