day,delta,volume,delta_ratio,n_trades,tape_move,delta_max,delta_min,delta_end_vs_max
2023-08-24,-240.0,14844.0,-0.016168148746968473,13806,-56.25,50.0,-738.0,-290.0
2023-08-25,1155.0,10323.0,0.11188607962801511,9372,33.75,1258.0,-25.0,-103.0
2023-08-28,-222.0,13668.0,-0.01624231782265145,12888,-31.25,89.0,-418.0,-311.0
2023-08-31,1153.0,14605.0,0.07894556658678535,13829,41.25,1176.0,-7.0,-23.0
2023-09-05,180.0,8252.0,0.021812893843916627,7680,-15.0,339.0,-27.0,-159.0
2023-09-06,-72.0,7256.0,-0.009922822491730982,6882,-11.25,109.0,-101.0,-181.0
2023-09-07,348.0,14230.0,0.02445537596626845,13498,-31.25,363.0,-92.0,-15.0
2023-09-08,1003.0,8875.0,0.11301408450704226,8369,53.75,1011.0,-32.0,-8.0
2023-09-12,276.0,8748.0,0.03155006858710562,8351,13.75,281.0,-187.0,-5.0
2023-09-14,205.0,13655.0,0.015012815818381545,12852,-5.0,233.0,-267.0,-28.0
2023-09-15,-16.0,16372.0,-0.0009772782799902272,15020,-25.0,690.0,-68.0,-706.0
2023-09-18,-186.0,10016.0,-0.0185702875399361,9425,22.5,158.0,-217.0,-344.0
2023-09-20,-814.0,14324.0,-0.056827701759285115,13159,-33.75,64.0,-967.0,-878.0
2023-09-21,501.0,10897.0,0.04597595668532624,10251,13.75,741.0,-112.0,-240.0
2023-09-22,-845.0,12509.0,-0.06755136301862659,11579,-13.75,21.0,-956.0,-866.0
2023-09-25,-731.0,10347.0,-0.07064849714893205,9625,-30.0,64.0,-976.0,-795.0
2023-09-26,-428.0,12268.0,-0.03488751222693186,11335,-12.5,403.0,-643.0,-831.0
2023-09-27,446.0,12110.0,0.036829066886870356,11347,13.75,733.0,-5.0,-287.0
2023-09-28,-740.0,8452.0,-0.08755324183625178,7941,-20.0,108.0,-750.0,-848.0
2023-09-29,-70.0,11366.0,-0.006158718986450818,10536,-8.75,307.0,-186.0,-377.0
2023-10-02,-268.0,8436.0,-0.03176861071597914,7903,10.0,18.0,-387.0,-286.0
2023-10-03,1091.0,12783.0,0.08534772745052022,11829,18.75,1106.0,-5.0,-15.0
2023-10-05,-179.0,10285.0,-0.017403986387943608,9703,-15.0,552.0,-219.0,-731.0
2023-10-09,-786.0,7504.0,-0.10474413646055437,6542,-15011.5,14.0,-804.0,-800.0
2023-10-10,492.0,9296.0,0.052925989672977625,8816,7.5,517.0,-9.0,-25.0
2023-10-12,284.0,9128.0,0.031113058720420684,8425,2.5,417.0,-59.0,-133.0
2023-10-13,480.0,9518.0,0.050430762765286824,8883,1.25,643.0,-50.0,-163.0
2023-10-18,335.0,9223.0,0.03632223788355199,8790,16.25,401.0,-55.0,-66.0
2023-10-19,599.0,8941.0,0.06699474331730232,8434,21.25,599.0,-74.0,0.0
2023-10-20,-200.0,10136.0,-0.01973164956590371,9516,-45.0,224.0,-295.0,-424.0
2023-10-23,1017.0,10549.0,0.09640724239264385,9960,-2.5,1109.0,1.0,-92.0
2023-10-26,259.0,14275.0,0.018143607705779333,13386,21.25,278.0,-125.0,-19.0
2023-10-27,517.0,14249.0,0.036283247947224366,13482,26.25,665.0,-4.0,-148.0
2023-10-30,438.0,9860.0,0.04442190669371197,9254,3.75,482.0,-52.0,-44.0
2023-10-31,-178.0,8708.0,-0.020440973817179606,8195,-26.25,267.0,-216.0,-445.0
2023-11-01,841.0,8615.0,0.09762042948345909,7831,21.25,847.0,-20.0,-6.0
2023-11-03,341.0,13047.0,0.02613627653866789,11996,23.75,355.0,-484.0,-14.0
2024-03-11,-240.0,16898.0,-0.014202864244289265,16268,-41.25,119.0,-347.0,-359.0
2024-03-12,585.0,15245.0,0.03837323712692686,14807,1.25,631.0,-3.0,-46.0
2024-03-13,-747.0,19385.0,-0.0385349497033789,18643,-36.25,52.0,-828.0,-799.0
2024-03-14,-204.0,15846.0,-0.012873911397198031,15031,-31.25,44.0,-508.0,-248.0
2024-03-15,531.0,20899.0,0.02540791425427054,19518,-6.25,663.0,-127.0,-132.0
2024-03-18,1012.0,19956.0,0.05071156544397675,18718,32.5,1357.0,-34.0,-345.0
2024-03-19,30.0,18692.0,0.001604964690776803,17748,-13.75,275.0,-391.0,-245.0
2024-03-20,101.0,12253.0,0.008242879294866563,11447,2.5,390.0,-3.0,-289.0
2024-03-21,-385.0,13095.0,-0.02940053455517373,12477,-17.5,35.0,-446.0,-420.0
2024-03-22,176.0,10024.0,0.017557861133280128,9700,-8.75,223.0,-93.0,-47.0
2024-03-25,-112.0,12682.0,-0.008831414603374861,11819,10.0,136.0,-370.0,-248.0
2024-03-26,117.0,11377.0,0.010283906126395358,10699,0.0,265.0,-133.0,-148.0
2024-03-27,-1304.0,13352.0,-0.09766327142001198,12606,-31.25,69.0,-1328.0,-1373.0
2024-03-28,-706.0,14270.0,-0.049474421864050454,13109,-32.5,36.0,-983.0,-742.0
2024-04-01,328.0,11758.0,0.027895900663378125,10929,15.0,438.0,-206.0,-110.0
2024-04-02,533.0,17797.0,0.029948867786705625,16704,-3.75,559.0,-130.0,-26.0
2024-04-03,642.0,11660.0,0.05506003430531732,10824,26.25,660.0,-12.0,-18.0
2024-04-04,-72.0,11464.0,-0.00628053035589672,10828,-1.25,239.0,-230.0,-311.0
2024-04-05,351.0,13525.0,0.025951940850277265,12906,18.75,677.0,-184.0,-326.0
2024-04-08,-486.0,14384.0,-0.03378754171301446,13631,-21.25,105.0,-496.0,-591.0
2024-04-09,320.0,12452.0,0.025698682942499197,11574,8.75,344.0,-116.0,-24.0
2024-04-10,631.0,18501.0,0.034106264526241825,17250,27.5,648.0,-232.0,-17.0
2024-04-11,-474.0,15730.0,-0.03013350286077559,14883,-15.0,1.0,-957.0,-475.0
2024-04-12,542.0,17946.0,0.030201716259890782,16928,23.75,558.0,-282.0,-16.0
2024-04-15,-1264.0,16502.0,-0.07659677614834566,15251,-42.5,1.0,-1268.0,-1265.0
2024-04-16,76.0,14546.0,0.005224804069847381,13890,11.25,116.0,-369.0,-40.0
2024-04-17,-142.0,12540.0,-0.011323763955342903,11871,-11.25,38.0,-338.0,-180.0
2024-04-18,-481.0,14949.0,-0.03217606528864807,13992,-36.25,117.0,-652.0,-598.0
2024-04-19,88.0,16630.0,0.0052916416115454,15811,-3.75,96.0,-481.0,-8.0
2024-04-22,295.0,15913.0,0.018538302017218625,14663,-6.25,615.0,-267.0,-320.0
2024-04-23,617.0,16061.0,0.03841603885187722,15265,31.25,824.0,-25.0,-207.0
2024-04-24,-247.0,16015.0,-0.01542304089915704,15156,-7.5,96.0,-304.0,-343.0
2024-04-25,-134.0,23054.0,-0.005812440357421705,21993,-33.75,255.0,-368.0,-389.0
2024-04-26,-370.0,14844.0,-0.024925895984909727,14114,-28.75,107.0,-370.0,-477.0
2024-04-29,-18.0,16030.0,-0.001122894572676232,15254,21.25,147.0,-362.0,-165.0
2024-04-30,-356.0,12750.0,-0.02792156862745098,12005,-1.25,297.0,-420.0,-653.0
2024-05-01,263.0,14415.0,0.01824488380159556,13683,-13.75,334.0,-135.0,-71.0
2024-05-02,-874.0,16596.0,-0.05266329235960472,15160,-17.5,236.0,-947.0,-1110.0
2024-05-03,-495.0,15333.0,-0.032283310506750144,14591,-25.0,136.0,-740.0,-631.0
2024-05-06,-524.0,11930.0,-0.04392288348700754,11109,-26.25,42.0,-550.0,-566.0
2024-05-07,1218.0,12182.0,0.09998358233459202,11167,18.75,1277.0,-68.0,-59.0
2024-05-08,231.0,11151.0,0.02071563088512241,10545,12.5,495.0,-41.0,-264.0
2024-05-09,-306.0,8894.0,-0.03440521700022487,8589,-1.25,146.0,-385.0,-452.0
2024-05-10,326.0,11994.0,0.0271802567950642,11359,11.25,517.0,-187.0,-191.0
2024-05-13,-425.0,10773.0,-0.03945047804696927,10287,-11.25,71.0,-485.0,-496.0
2024-05-14,-273.0,14449.0,-0.018894041110111427,14025,13.75,196.0,-330.0,-469.0
2024-05-15,477.0,15703.0,0.030376361204865313,15166,10.0,575.0,-74.0,-98.0
2024-05-16,-680.0,11634.0,-0.05844937252879491,10957,1.25,34.0,-736.0,-714.0
2024-05-17,-295.0,14315.0,-0.020607754104086624,13776,3.75,30.0,-435.0,-325.0
2024-05-20,965.0,11609.0,0.08312516151261952,10877,22.5,978.0,-107.0,-13.0
2024-05-21,278.0,15750.0,0.01765079365079365,14916,11.25,319.0,-232.0,-41.0
2024-05-22,895.0,11875.0,0.07536842105263158,11252,13.75,901.0,-7.0,-6.0
2024-05-23,-1333.0,22205.0,-0.06003152443143436,20457,-36.25,-1.0,-1652.0,-1332.0
