day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2024-06-10,0.02923331494760066,371.0,12691.0,17.5,-44,36
2024-06-11,0.029393457362196555,425.0,14459.0,2.5,36,-44
2024-06-12,-0.011930743489014985,-164.0,13746.0,16.25,36,-44
2024-06-13,0.0020373514431239388,24.0,11780.0,5.0,-44,36
2024-06-14,-0.03928730512249443,-441.0,11225.0,-17.5,36,-44
2024-06-17,-0.02192316040807467,-202.0,9214.0,-3.75,-44,36
2024-06-18,0.00750056822486552,99.0,13199.0,18.75,-44,36
2024-06-20,-0.03667305848513902,-612.0,16688.0,-23.75,-44,36
2024-06-24,0.05434029496189251,549.0,10103.0,12.5,36,-44
2024-06-25,0.0014922589069203507,16.0,10722.0,-2.5,-44,36
2024-06-26,0.06868608913756512,712.0,10366.0,18.75,-44,36
2024-06-27,0.06125472187245389,827.0,13501.0,35.0,36,-44
2024-06-28,-0.012872684992940786,-155.0,12041.0,-17.5,-44,36
2024-07-01,-0.05175292153589316,-620.0,11980.0,-25.0,-44,36
2024-07-02,0.04783367257923815,658.0,13756.0,36.25,36,-44
2024-07-03,0.09598230214800542,1345.0,14013.0,46.25,-44,36
2024-07-05,0.03481582930872919,483.0,13873.0,21.25,-44,36
2024-07-08,0.007602497963616617,112.0,14732.0,7.5,-44,36
2024-07-09,0.05308916019237884,574.0,10812.0,23.75,36,-44
2024-07-10,-0.035211267605633804,-490.0,13916.0,-10.0,-44,36
2024-07-11,-0.036679781698185046,-578.0,15758.0,-25.0,36,-44
2024-07-12,-0.031024581553330065,-443.0,14279.0,-2.5,-44,36
2024-07-15,0.02301635372501514,304.0,13208.0,1.25,36,-44
2024-07-16,-0.0016800448011946986,-18.0,10714.0,-3.75,-44,36
2024-07-17,-0.012822525775893651,-245.0,19107.0,-12.5,-44,36
2024-07-18,-0.03499125218695326,-560.0,16004.0,-32.5,-44,36
2024-07-19,-0.01534210717661601,-211.0,13753.0,-6.25,-44,36
2024-07-22,-0.03615795683253522,-521.0,14409.0,-56.25,-44,36
2024-07-23,-0.016042780748663103,-159.0,9911.0,-17.5,36,-44
2024-07-24,0.0094478889873044,128.0,13548.0,-11.25,-44,36
2024-07-25,-0.014563426688632619,-221.0,15175.0,-46.25,-44,36
2024-07-26,0.010773899848254932,142.0,13180.0,-16.25,-44,36
2024-07-29,0.02544757033248082,398.0,15640.0,-23.75,36,-44
2024-07-30,0.023919357594396035,280.0,11706.0,2.5,-44,36
2024-07-31,-0.0006786233640329617,-14.0,20630.0,-35.0,-44,36
2024-08-01,-0.019454754895686675,-304.0,15626.0,18.75,36,-44
2024-08-02,0.029827559422091036,384.0,12874.0,-38.75,-44,36
2024-08-05,0.03327122704285334,500.0,15028.0,41.25,36,-44
2024-08-06,0.06161673261729791,654.0,10614.0,82.5,-44,36
2024-08-07,0.05837185614667398,745.0,12763.0,25.0,-44,36
2024-08-08,-0.020892018779342724,-178.0,8520.0,-33.75,-44,36
2024-08-09,0.06073054291106917,547.0,9007.0,45.0,-44,36
2024-08-12,-0.007644197359277276,-55.0,7195.0,13.75,36,-44
2024-08-13,0.037366548042704624,336.0,8992.0,32.5,36,-44
2024-08-14,0.030605600173648797,282.0,9214.0,5.0,-44,36
2024-08-15,-0.002066725715972837,-21.0,10161.0,-12.5,36,-44
2024-08-16,-0.015911659855664725,-183.0,11501.0,0.0,-44,36
2024-08-19,0.016835016835016835,155.0,9207.0,-6.25,36,-44
2024-08-20,0.058429973238180194,524.0,8968.0,23.75,36,-44
2024-08-21,-0.039636455440545316,-314.0,7922.0,-6.25,-44,36
2024-08-22,0.010469011725293133,100.0,9552.0,-3.75,36,-44
2024-08-23,-0.06725607830754657,-639.0,9501.0,-35.0,-44,36
2024-08-26,-0.01609315713724977,-123.0,7643.0,15.0,36,-44
2024-08-27,-0.03603896103896104,-222.0,6160.0,-11.25,-44,36
2024-08-28,0.03144140465496121,231.0,7347.0,15.0,-44,36
2024-08-29,0.026693030153237766,324.0,12138.0,48.75,-44,36
2024-08-30,-0.0002447381302006853,-2.0,8172.0,-22.5,36,-44
2024-09-03,-0.051000645577792124,-632.0,12392.0,-47.5,-44,36
2024-09-04,0.01572012721490232,173.0,11005.0,11.25,36,-44
2024-09-05,0.03565234149161688,370.0,10378.0,28.75,36,-44
2024-09-06,-0.017010206123674206,-170.0,9994.0,-37.5,-44,36
2024-09-09,0.018471787624911678,183.0,9907.0,10.0,36,-44
2024-09-10,0.02177489596438595,225.0,10333.0,62.5,-44,36
2024-09-11,0.021743632221992132,210.0,9658.0,-20.0,36,-44
2024-09-12,-0.013219875398875551,-174.0,13162.0,-21.25,36,-44
2024-09-13,-0.044556962025316456,-352.0,7900.0,11.25,36,-44
2024-09-16,-0.04542335666254975,-331.0,7287.0,-46.25,-44,36
2024-09-17,0.012989921612541993,116.0,8930.0,18.75,-44,36
2024-09-18,-0.0443213296398892,-320.0,7220.0,-13.75,-44,36
2024-09-19,-0.048878440591634834,-499.0,10209.0,-17.5,-44,36
2024-09-23,0.01890547263681592,152.0,8040.0,-35.0,36,-44
2024-09-24,-0.0454318522216675,-364.0,8012.0,-16.25,-44,36
2024-09-25,0.0036067481093659103,31.0,8595.0,23.75,36,-44
2024-09-26,-0.06829268292682927,-868.0,12710.0,-45.0,36,-44
2024-09-27,-0.0685805422647528,-516.0,7524.0,-23.75,36,-44
2024-09-30,-0.0006020469596628537,-6.0,9966.0,42.5,36,-44
2024-10-01,-0.060620616773945625,-631.0,10409.0,-52.5,36,-44
2024-10-02,-0.05189112039963299,-509.0,9809.0,16.25,-44,36
2024-10-03,0.015134736064968624,123.0,8127.0,28.75,36,-44
2024-10-04,-0.07135227515488143,-668.0,9362.0,-22.5,-44,36
2024-10-07,-0.022086466165413533,-188.0,8512.0,-12.5,36,-44
2024-10-08,-0.003343653250773994,-27.0,8075.0,-17.5,-44,36
2024-10-09,-0.06871230002622607,-524.0,7626.0,-26.25,36,-44
2024-10-10,0.03057471264367816,266.0,8700.0,22.5,-44,36
2024-10-11,0.003760544770810042,37.0,9839.0,-2.5,-44,36
2024-10-14,0.026938597447922347,247.0,9169.0,18.75,36,-44
2024-10-15,0.029142185663924795,248.0,8510.0,1.25,-44,36
2024-10-16,-0.07365700572272475,-798.0,10834.0,-40.0,36,-44
2024-10-17,-0.07808687164470474,-960.0,12294.0,-41.25,36,-44
2024-10-18,-0.03693079956973826,-412.0,11156.0,-12.5,36,-44
2024-10-21,0.008231278859666733,82.0,9962.0,12.5,36,-44
2024-10-22,0.02775290957923008,310.0,11170.0,-13.75,36,-44
2024-10-23,0.0055658627087198514,78.0,14014.0,-11.25,-44,36
2024-10-24,-0.028633562885103298,-395.0,13795.0,-50.0,36,-44
2024-10-25,0.024877650897226752,366.0,14712.0,46.25,-44,36
2024-10-28,-0.02091982091982092,-257.0,12285.0,-36.25,36,-44
2024-10-29,-0.054191511750263065,-618.0,11404.0,-55.0,-44,36
2024-10-30,-0.0043541364296081275,-48.0,11024.0,-5.0,-44,36
2024-10-31,-0.04062284171532617,-647.0,15927.0,-82.5,-44,36
2024-11-01,0.012797404470079307,142.0,11096.0,23.75,-44,36
2025-03-10,-0.05488969949626542,-632.0,11514.0,-52.5,-44,36
2025-03-11,0.0676056338028169,384.0,5680.0,-13.75,36,-44
2025-03-12,0.017985611510791366,80.0,4448.0,32.5,36,-44
2025-03-17,0.09295894490533929,437.0,4701.0,43.75,36,-44
2025-03-18,-0.04039324642017525,-189.0,4679.0,-26.25,36,-44
2025-03-19,-0.006239826370048833,-46.0,7372.0,13.75,36,-44
2025-03-24,0.04465010553661309,275.0,6159.0,-5.0,36,-44
2025-03-25,0.03420957868203097,285.0,8331.0,10.0,-44,36
2025-03-26,0.005649717514124294,31.0,5487.0,-2.5,-44,36
2025-03-28,-0.04299398529739363,-193.0,4489.0,-42.5,36,-44
2025-04-01,0.07136279926335175,620.0,8688.0,26.25,36,-44
2025-04-02,-0.05741962656184192,-409.0,7123.0,20.0,36,-44
2025-04-03,0.05712774398307326,432.0,7562.0,93.75,36,-44
2025-04-10,0.021059986026549557,211.0,10019.0,52.5,-44,36
2025-04-11,-0.007209903414501428,-53.0,7351.0,-47.5,36,-44
2025-04-14,-0.06439641999563414,-590.0,9162.0,-35.0,36,-44
