BurstId,fecha,year,family,burst_side,strategy_decision_timestamp_utc,Burst_Feature_Available_Timestamp_UTC,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Level_Band_Dwell_Ratio,Rejected_Side_Dwell_Ratio,Reclaim_Count,Momentum_Survival_Ratio,Path_Efficiency,Model_Eligibility,decision_utc,feature_available_utc,response_available_utc,response_after_decision_ms,response_window_ms
LB_20230419_093353_SELL_0001,2023-04-19,2023,A_TRUE_ABSORPTION,SELL,2023-04-19T13:33:54.064843Z,2023-04-19T13:33:54.0244879Z,2023-04-19T13:33:55.0000000Z,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-04-19 13:33:54.064843+00:00,2023-04-19 13:33:54.024487900+00:00,2023-04-19 13:33:55+00:00,935.157,975.5121
LB_20230426_093201_SELL_0001,2023-04-26,2023,A_TRUE_ABSORPTION,SELL,2023-04-26T13:32:02.055938Z,2023-04-26T13:32:02.0096780Z,2023-04-26T13:32:03.0000000Z,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-04-26 13:32:02.055938+00:00,2023-04-26 13:32:02.009678+00:00,2023-04-26 13:32:03+00:00,944.062,990.322
LB_20230503_093500_BUY_0001,2023-05-03,2023,B_CLEAN_BREAKOUT,BUY,2023-05-03T13:35:01.053012Z,2023-05-03T13:35:01.0072930Z,2023-05-03T13:35:02.0000000Z,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2023-05-03 13:35:01.053012+00:00,2023-05-03 13:35:01.007293+00:00,2023-05-03 13:35:02+00:00,946.988,992.707
LB_20230511_093202_SELL_0001,2023-05-11,2023,B_CLEAN_BREAKOUT,SELL,2023-05-11T13:32:03.023827Z,2023-05-11T13:32:03.0139550Z,2023-05-11T13:32:04.0000000Z,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-05-11 13:32:03.023827+00:00,2023-05-11 13:32:03.013955+00:00,2023-05-11 13:32:04+00:00,976.173,986.045
LB_20230518_093436_BUY_0001,2023-05-18,2023,B_CLEAN_BREAKOUT,BUY,2023-05-18T13:34:37.130016Z,2023-05-18T13:34:37.0249959Z,2023-05-18T13:34:38.0000000Z,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-05-18 13:34:37.130016+00:00,2023-05-18 13:34:37.024995900+00:00,2023-05-18 13:34:38+00:00,869.9839999999999,975.0041
LB_20230522_093356_BUY_0001,2023-05-22,2023,B_CLEAN_BREAKOUT,BUY,2023-05-22T13:33:57.065921Z,2023-05-22T13:33:57.0132970Z,2023-05-22T13:33:58.0000000Z,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-05-22 13:33:57.065921+00:00,2023-05-22 13:33:57.013297+00:00,2023-05-22 13:33:58+00:00,934.079,986.703
LB_20230526_093357_BUY_0001,2023-05-26,2023,A_TRUE_ABSORPTION,BUY,2023-05-26T13:33:58.020596Z,2023-05-26T13:33:58.0079660Z,2023-05-26T13:33:59.0000000Z,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-05-26 13:33:58.020596+00:00,2023-05-26 13:33:58.007966+00:00,2023-05-26 13:33:59+00:00,979.404,992.034
LB_20230531_093156_BUY_0001,2023-05-31,2023,C_MIXED_PATH,BUY,2023-05-31T13:31:57.052030Z,2023-05-31T13:31:57.0098070Z,2023-05-31T13:31:58.0000000Z,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2023-05-31 13:31:57.052030+00:00,2023-05-31 13:31:57.009807+00:00,2023-05-31 13:31:58+00:00,947.97,990.193
LB_20230605_093500_BUY_0001,2023-06-05,2023,C_MIXED_PATH,BUY,2023-06-05T13:35:01.036505Z,2023-06-05T13:35:01.0020969Z,2023-06-05T13:35:02.0000000Z,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,POST_BURST_ONLY,2023-06-05 13:35:01.036505+00:00,2023-06-05 13:35:01.002096900+00:00,2023-06-05 13:35:02+00:00,963.495,997.9031
LB_20230613_093139_SELL_0001,2023-06-13,2023,A_TRUE_ABSORPTION,SELL,2023-06-13T13:31:40.043985Z,2023-06-13T13:31:40.0013759Z,2023-06-13T13:31:41.0000000Z,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-06-13 13:31:40.043985+00:00,2023-06-13 13:31:40.001375900+00:00,2023-06-13 13:31:41+00:00,956.015,998.6241
LB_20230622_093240_BUY_0001,2023-06-22,2023,B_CLEAN_BREAKOUT,BUY,2023-06-22T13:32:41.030431Z,2023-06-22T13:32:41.0082400Z,2023-06-22T13:32:42.0000000Z,1.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2023-06-22 13:32:41.030431+00:00,2023-06-22 13:32:41.008240+00:00,2023-06-22 13:32:42+00:00,969.569,991.76
LB_20230623_093159_BUY_0001,2023-06-23,2023,B_CLEAN_BREAKOUT,BUY,2023-06-23T13:32:00.009044Z,2023-06-23T13:32:00.0010960Z,2023-06-23T13:32:01.0000000Z,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,POST_BURST_ONLY,2023-06-23 13:32:00.009044+00:00,2023-06-23 13:32:00.001096+00:00,2023-06-23 13:32:01+00:00,990.9559999999999,998.904
