fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2023-09-13,09:31:07,BUY,8,Excelente,Normal,FALSE,TP,+21,25,0,21,21,21.0,positive before +100,score_trade_result_2023-09-13_NY.csv
2023-09-14,09:34:16,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-09-14_NY.csv
2023-09-18,09:33:11,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+21,25,10,21,21,21.0,positive before +100,score_trade_result_2023-09-18_NY.csv
2023-09-19,09:31:03,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-09-19_NY.csv
2023-09-27,09:31:07,SELL,10,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2023-09-27_NY.csv
2023-10-02,09:33:29,BUY,6,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-10-02_NY.csv
2023-10-06,09:31:08,BUY,6,Excelente,Excelente,FALSE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-10-06_NY.csv
2023-10-09,09:32:27,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-10-09_NY.csv
2023-10-16,09:31:05,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-10-16_NY.csv
2023-10-23,09:35:14,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-10-23_NY.csv
2023-10-25,09:31:07,SELL,8,Excelente,Normal,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-10-25_NY.csv
2023-10-26,09:33:07,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-10-26_NY.csv
2023-11-02,09:32:03,BUY,9,Excelente,Riesgo de reversion,TRUE,TP,+30,30,15,30,60,30.0,positive before +100,score_trade_result_2023-11-02_NY.csv
2024-03-13,09:31:04,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-03-13_NY.csv
2024-03-18,09:32:04,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,55,60,60,-40.0,-40 stop,score_trade_result_2024-03-18_NY.csv
2024-03-19,09:31:27,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+21,25,5,21,21,21.0,positive before +100,score_trade_result_2024-03-19_NY.csv
2024-03-27,09:32:09,SELL,6,Excelente,Normal,FALSE,TP,+21,25,5,21,21,21.0,positive before +100,score_trade_result_2024-03-27_NY.csv
2024-03-28,09:31:13,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-03-28_NY.csv
