fecha,BurstId,prediction_timestamp,causal_first_timestamp,causal_last_timestamp,source,status,observed_clv,recomputed_clv,absolute_formula_error,timestamp_ok,source_ok,observation_count_ok,formula_ok,causal_row_ok,decision
2023-09-15,LB_20230915_093253_SELL_0001,2023-09-15 13:32:53.956283900+00:00,2023-09-15 13:32:53.956283900+00:00,2023-09-15 13:32:53.956283900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-19,LB_20230919_093101_SELL_0001,2023-09-19 13:31:01.963543900+00:00,2023-09-19 13:31:01.963543900+00:00,2023-09-19 13:31:01.963543900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-22,LB_20230922_093553_SELL_0001,2023-09-22 13:35:54.074897+00:00,2023-09-22 13:35:54.074897+00:00,2023-09-22 13:35:54.074897+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-27,LB_20230927_093102_BUY_0001,2023-09-27 13:31:03.009005+00:00,2023-09-27 13:31:03.009005+00:00,2023-09-27 13:31:03.009005+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-10-02,LB_20231002_093150_BUY_0001,2023-10-02 13:31:51.027298900+00:00,2023-10-02 13:31:51.027298900+00:00,2023-10-02 13:31:51.027298900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-10-05,LB_20231005_093554_BUY_0001,2023-10-05 13:35:55.055152900+00:00,2023-10-05 13:35:55.055152900+00:00,2023-10-05 13:35:55.055152900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-10-16,LB_20231016_093102_BUY_0001,2023-10-16 13:31:02.986528+00:00,2023-10-16 13:31:02.986528+00:00,2023-10-16 13:31:02.986528+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-10-25,LB_20231025_093201_SELL_0001,2023-10-25 13:32:02.053194+00:00,2023-10-25 13:32:02.053194+00:00,2023-10-25 13:32:02.053194+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-10-27,LB_20231027_093329_BUY_0001,2023-10-27 13:33:30.058052900+00:00,2023-10-27 13:33:30.058052900+00:00,2023-10-27 13:33:30.058052900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-11-02,LB_20231102_093203_SELL_0001,2023-11-02 13:32:04.004564+00:00,2023-11-02 13:32:04.004564+00:00,2023-11-02 13:32:04.004564+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-03-18,LB_20240318_093121_BUY_0001,2024-03-18 13:31:21.991889+00:00,2024-03-18 13:31:21.991889+00:00,2024-03-18 13:31:21.991889+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-02,LB_20240402_093358_SELL_0002,2024-04-02 13:33:58.989643+00:00,2024-04-02 13:33:58.989643+00:00,2024-04-02 13:33:58.989643+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-03,LB_20240403_093241_BUY_0001,2024-04-03 13:32:42.113757+00:00,2024-04-03 13:32:42.113757+00:00,2024-04-03 13:32:42.113757+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
