feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
Profile_Excess_Kurtosis,26,61,-0.5734730447021885,-0.5942777605208055,0.5007595690835517,-1.242288914594312,-0.834994860562122,-0.2744760233124057,-0.125566831283222,-0.384243260767231,-0.56014710632753,0.6827252063680428,-1.122126323755257,-0.77901531844768,-0.098159926527743,0.6101293872225,-0.29816629615222906,-0.13745271122320302,0.6633039092055486,0.3143827513814862,0.38139010232688003,0.15497144080778286,0.20646589607430188,0.22038980509745126,-0.43738503706263054,0.06692451569170163,1.0,1.0,0.13745271122320302
Signed_Delta_Share_AtEntry,26,61,-0.3030769230769231,-0.265,0.19157806201690694,-0.52,-0.4775,-0.1225,-0.10500000000000001,-0.25081967213114753,-0.21,0.18892057486297617,-0.48,-0.38,-0.13,-0.04,-0.2754643305583439,-0.13493064312736444,0.651954602774275,0.3231965420206522,0.3743736922589407,0.24815265521045185,0.24282428832903627,0.23088455772113944,-0.1356339848675914,0.033082912988650626,1.0,1.0,0.13493064312736444
directional_vwap_distance,26,61,14.55010468725235,13.873690441161893,4.730138113133944,8.45988352871368,11.05665830763662,17.737426417987066,21.383611160139374,11.860502454782427,12.905668252775692,11.011635132852657,-5.254556736213449,10.258989657915672,16.459016393442624,21.47595967429236,0.2801468433746984,0.13366960907944514,0.819672131147541,0.327950360105457,0.5186957058210554,0.11472896321718763,0.23497253743489874,0.223888055972014,-0.5202297444456123,5.969118453339803,1.0,1.0,0.13366960907944514
distance_nearest_profile_reference_ticks,26,61,0.3076923076923077,0.0,0.5491251783869152,0.0,0.0,0.75,1.0,0.45901639344262296,0.0,0.6211218477293935,0.0,0.0,1.0,1.0,-0.25185313626389694,-0.12673392181588902,0.8757881462799494,0.2699620347282453,0.8986017419722557,0.2634061641528183,0.28527258690924767,0.32033983008495753,-0.41424968474148804,0.12295081967213117,1.0,1.0,0.12673392181588902
Delta_Change_AtEntry,26,61,-66.73076923076923,-33.0,350.47585453977376,-533.5,-277.5,163.0,340.5,17.0327868852459,-41.0,402.1270100856658,-472.0,-266.0,355.0,526.0,-0.21608006187702147,-0.12421185372005045,0.832282471626734,0.363500549019495,0.6412109363865405,0.33374109332454205,0.3588346237212007,0.3613193403298351,-248.42586696090794,86.60881147540981,1.0,1.0,0.12421185372005045
Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,26,61,0.42346153846153844,0.165,0.45791651909659087,0.0,0.0,1.0,1.0,0.3114754098360656,0.0,0.41575167293940335,0.0,0.0,0.67,1.0,0.2612933453257706,0.12295081967213115,0.8335435056746532,0.31639718674433925,0.6223803348123265,0.28932885345819565,0.26772452731431234,0.2688655672163918,-0.08708007566204283,0.31873707440100874,1.0,1.0,0.12295081967213115
PreBurst_Rotation_Index_10s,26,61,0.3566849816849817,0.3666666666666665,0.22966012473603875,0.0,0.2589285714285715,0.48214285714285726,0.6,0.4138563622170179,0.4,0.22217095136861048,0.166666666666667,0.285714285714286,0.571428571428571,0.666666666666667,-0.2547748807801953,-0.12042875157629256,0.6998738965952079,0.3761238456760204,0.689342182306224,0.28878476067418635,0.2797588242328221,0.2673663168415792,-0.16341567585420055,0.047833085630216765,1.0,1.0,0.12042875157629256
Profile_Skewness,26,61,0.07057180125971062,0.0854806026074585,0.38618316786418355,-0.33163512017032404,-0.09639901769075025,0.3420720667091395,0.4863464971765435,0.03952762995933265,0.001489483275625,0.48288648009658974,-0.481923033762093,-0.25450812962666,0.24175291890523,0.77052595648323,0.06799351828187934,0.11979823455233292,0.7503152585119799,0.3808925248910592,0.4221441086724522,0.7519723448813879,0.7722874587901768,0.777111444277861,-0.15783242348744722,0.21072617167389932,1.0,1.0,0.11979823455233292
signed_velocity_decay_1_5,26,61,-2.069230769230769,-1.6,1.4118836299835,-4.300000000000001,-2.95,-1.0,-0.7,-2.6065573770491803,-2.4,2.532973802500335,-4.8,-3.2,-1.2,0.0,0.2375782379791352,0.11979823455233292,0.7282471626733922,0.38036021055748137,0.3077227705867104,0.21137452006715704,0.31328250337985863,0.3343328335832084,-0.27530264817150096,1.4085876418663312,1.0,1.0,0.11979823455233292
BreakOut_TICKS_PER_SEC_AtEntry,26,61,6.9738461538461545,1.2799999999999998,9.98220259338512,0.41000000000000003,0.5650000000000001,8.9525,22.005,6.743442622950819,0.99,14.969896557786218,0.0,0.54,4.99,19.49,0.016826570709526728,0.11412358133669609,0.9167717528373265,0.4038450195044482,0.7345801137333636,0.9332218690756329,0.9428952182195928,0.952023988005997,-5.221233764186635,5.723794924337957,1.0,1.0,0.11412358133669609
signed_velocity_3s,26,61,1.5256410256410258,1.5,0.7897852136883065,0.666666666666667,1.0,2.0,2.666666666666667,1.73224043715847,1.666666666666667,1.0968298968882795,0.666666666666667,1.0,2.0,3.0,-0.20330601986544292,-0.11223203026481715,0.8871374527112232,0.4078661883444479,0.8802022396399354,0.3267541091552984,0.3878139278710655,0.3953023488255872,-0.5990910046237913,0.21594682639764587,1.0,1.0,0.11223203026481715
Delta2s,26,61,-8.884615384615385,129.5,222.86934772158813,-296.0,-193.75,177.75,206.5,23.21311475409836,139.0,218.6033786529155,-242.0,-179.0,196.0,242.0,-0.1459872497880865,-0.1116015132408575,0.8480453972257251,0.41449789826707595,0.6777912339182415,0.5393126780591921,0.5347471797005404,0.5322338830584707,-129.69758827238334,65.03080075662035,1.0,1.0,0.1116015132408575
Dist_LVN_Ticks,26,61,0.15384615384615385,0.0,1.0466062370273814,-1.0,-1.0,1.0,1.5,0.3770491803278688,0.0,1.1994989846630342,-1.0,-1.0,1.0,2.0,-0.19297696335051062,-0.10592686002522068,0.8430012610340478,0.4221946907176227,0.9648279624323723,0.3877945125150406,0.4122776358492925,0.4357821089455272,-0.7169924337957125,0.2876418663303903,1.0,1.0,0.10592686002522068
Velocity5s,26,61,-0.06153846153846154,0.4,1.1324581839792314,-1.5,-1.15,0.8,1.0,0.08852459016393441,0.6,1.4839247915191813,-1.6,-1.0,1.2,1.8,-0.10797382202039943,-0.1034047919293821,0.7767969735182849,0.44880422986272395,0.4843768023533606,0.6094947348162753,0.6459688065861023,0.6511744127936032,-0.7094861286254728,0.40127679697351826,1.0,1.0,0.1034047919293821
Body_AtEntry,26,61,22.692307692307693,20.0,11.681675327689023,7.5,15.0,33.75,40.0,29.098360655737704,25.0,23.264927049124676,0.0,15.0,40.0,65.0,-0.3117681337788181,-0.1008827238335435,0.7332912988650694,0.45879449160357677,0.41143094235970606,0.09200820284954847,0.18670238013022936,0.17991004497751126,-13.406210592686005,0.44490857503152303,1.0,1.0,0.1008827238335435
Nearest_OR_Edge_Retest_Count_AtEntry,26,61,1.2692307692307692,1.0,1.2824255863851846,0.0,0.0,2.0,3.0,1.0655737704918034,1.0,1.2365119282214303,0.0,0.0,2.0,3.0,0.16290070841747578,0.1008827238335435,0.903530895334174,0.4381086400774228,0.9868898684129704,0.49662208891662546,0.488621387057327,0.5237381309345327,-0.36697667087011354,0.8020491803278686,1.0,1.0,0.1008827238335435
Acceleration3s,26,61,-0.14102564102564097,0.0,1.2549389606159318,-2.0,-0.9166666666666667,0.666666666666667,1.3333333333333335,0.17486338797814216,0.333333333333333,1.5946746531956373,-1.333333333333333,-1.0,1.0,1.666666666666667,-0.21020777846313746,-0.09709962168978563,0.8493064312736444,0.4763089810940041,0.9215293101577899,0.327236805821398,0.3719803885171378,0.37831084457771114,-0.9691519546027745,0.30061475409836036,1.0,1.0,0.09709962168978563
Cumulative_Delta_AtEntry,26,61,262.11538461538464,523.0,1857.9199622572137,-2363.5,-978.75,1283.75,2833.0,-68.0327868852459,-206.0,1588.075910939746,-2294.0,-986.0,1391.0,1867.0,0.19746072554630056,0.09709962168978563,0.7295081967213115,0.4781087692390139,0.49610467917206386,0.43333125674191636,0.40154569437321486,0.37831084457771114,-462.5183480453972,1126.066661412358,1.0,1.0,0.09709962168978563
PreBurst_Impulse_Survival_Seconds,26,61,1.8846153846153846,2.0,1.1073183129316728,1.0,1.0,2.0,3.0,1.8032786885245902,1.0,1.288664323128765,1.0,1.0,2.0,4.0,0.06569542566057063,0.09394703656998739,0.8278688524590164,0.4663604745419324,0.9276168176322852,0.7666611902149774,0.7797783501951427,0.8455772113943029,-0.455264817150063,0.6085592686002518,1.0,1.0,0.09394703656998739
delta_persistence_3_5,26,61,0.6446058114204571,0.6080726357425387,0.09882461231371417,0.5537935074143725,0.5890349544072948,0.663560929350403,0.79822147872598,0.6630273423351263,0.6222222222222222,0.1276817342662893,0.5497382198952879,0.5945945945945946,0.7020408163265306,0.8131979695431472,-0.15361852500195886,-0.09205548549810845,0.8921815889029003,0.5014099871329061,0.8762129435953901,0.47031059101180744,0.5136620022045998,0.526736631684158,-0.06754989271254348,0.027665935121473893,1.0,1.0,0.09205548549810845
Profile_Std_Ticks,26,61,7.200810994908197,6.665144290493288,2.629562463191835,4.013773815737256,4.88078901281059,9.46962937995486,10.755919554058561,7.0537357167023105,6.458963614680272,3.263102209024609,4.223703333494528,4.803210364094928,8.34445676292624,10.01413831113464,0.047592878287008346,0.08575031525851198,0.8291298865069356,0.5313838274335032,0.8224076658381623,0.8254030091040538,0.8394606325213291,0.8360819590204898,-1.159822834587357,1.4380734363550376,1.0,1.0,0.08575031525851198
