comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_REST,2022,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,10,26,0.837199346512882,0.91829583405449,-1.0,-0.1576923076923077
D_vs_REST,2023,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,16,25,0.7666031096732475,0.811278124459133,-1.0,-0.21
D_vs_REST,2024,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,18,31,0.7306502730537435,0.721928094887362,1.0,0.0017921146953405018
D_vs_REST,2025,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,22,21,0.863120568566631,0.811278124459133,1.0,0.008658008658008658
D_vs_REST,2026,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,5,9,0.863120568566631,0.91829583405449,-1.0,-0.4666666666666667
D_vs_REST,2022,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,10,26,0.55,0.6261343012704175,-1.0,-0.11538461538461539
D_vs_REST,2023,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,16,25,0.625,0.6,1.0,0.07
D_vs_REST,2024,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,18,31,0.7182539682539679,0.777777777777778,-1.0,-0.12007168458781362
D_vs_REST,2025,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,22,21,0.5916666666666666,0.545454545454545,1.0,0.03896103896103896
D_vs_REST,2026,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,5,9,0.666666666666667,0.529411764705882,1.0,0.6666666666666666
D_vs_REST,2022,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,10,26,0.0250875875875875,0.0317847177866675,-1.0,-0.07692307692307693
D_vs_REST,2023,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,16,25,0.0155007314802505,0.017167381974249,-1.0,-0.14
D_vs_REST,2024,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,18,31,0.0251414304225535,0.026315789473684,-1.0,0.008960573476702509
D_vs_REST,2025,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,22,21,0.0280590651158415,0.033492822966507,-1.0,-0.19480519480519481
D_vs_REST,2026,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,5,9,0.064171122994652,0.042424242424242,1.0,0.28888888888888886
D_vs_REST,2022,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,10,26,0.0124343527957985,0.013430019052655999,-1.0,-0.07692307692307693
D_vs_REST,2023,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,16,25,0.0069966406457695005,0.007777777777778,-1.0,-0.115
D_vs_REST,2024,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,18,31,0.0124534739454095,0.011834319526627,1.0,0.06451612903225806
D_vs_REST,2025,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,22,21,0.0125947780844515,0.017123287671233,-1.0,-0.22510822510822512
D_vs_REST,2026,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,5,9,0.029304029304029,0.019021739130435,1.0,0.3333333333333333
D_vs_REST,2022,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,10,26,2.0,1.5,1.0,0.026923076923076925
D_vs_REST,2023,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,16,25,2.0,1.0,1.0,0.135
D_vs_REST,2024,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,18,31,2.0,2.0,0.0,0.06630824372759857
D_vs_REST,2025,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,22,21,2.0,2.0,0.0,-0.04112554112554113
D_vs_REST,2026,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,5,9,2.0,2.0,0.0,0.06666666666666667
D_vs_REST,2022,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,10,26,1.05,0.7,1.0,0.3076923076923077
D_vs_REST,2023,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,16,25,0.44999999999999996,0.5,-1.0,-0.1275
D_vs_REST,2024,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,18,31,0.8,0.7,1.0,0.03225806451612903
D_vs_REST,2025,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,22,21,0.6499999999999999,1.0,-1.0,-0.24242424242424243
D_vs_REST,2026,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,5,9,1.6,1.3,1.0,0.2222222222222222
D_vs_REST,2022,Profile_Std_Ticks,AUCTION_THEORY,10,26,8.77120212588016,7.947007293110656,1.0,0.2846153846153846
D_vs_REST,2023,Profile_Std_Ticks,AUCTION_THEORY,16,25,6.073670393958692,5.430370329876712,1.0,0.085
D_vs_REST,2024,Profile_Std_Ticks,AUCTION_THEORY,18,31,7.197671477862028,5.726462775105912,1.0,0.0
D_vs_REST,2025,Profile_Std_Ticks,AUCTION_THEORY,22,21,10.318441981045119,9.25439084103808,1.0,0.11255411255411256
D_vs_REST,2026,Profile_Std_Ticks,AUCTION_THEORY,5,9,16.43733587586464,11.77810795272288,1.0,0.6
