comparison,feature,physical_family,years_with_nonzero_effect,annual_direction_stable_min_3_years,valid_walk_forward_folds,median_walk_forward_balanced_accuracy,walk_forward_direction_stable,latest_year_oos_balanced_accuracy,passes_confirmation_gate
D_vs_REST,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,0,0,0,,0,,0
D_vs_REST,POC_Migration_Ticks,AUCTION_THEORY,1,0,0,,0,,0
D_vs_REST,Body_AtEntry,OTHER_CAUSAL_CONTEXT,4,0,0,,0,,0
D_vs_REST,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,2,0,0,,0,,0
D_vs_REST,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,1,0,0,,0,,0
D_vs_REST,PreEntry_Directional_Delta_Share3_AtEntry,FLOW_BURST_QUALITY,3,0,0,,0,,0
D_vs_REST,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,ACCEPTANCE_RECLAIM,2,0,0,,0,,0
D_vs_REST,velocity_consistency,PERSISTENCE_EXHAUSTION,0,0,0,,0,,0
D_vs_REST,flow_price_alignment,OTHER_CAUSAL_CONTEXT,0,0,0,,0,,0
D_vs_REST,profile_confluence_4t,AUCTION_THEORY,0,0,0,,0,,0
D_vs_REST,distance_nearest_profile_reference_ticks,AUCTION_THEORY,1,0,0,,0,,0
