feature_a,family_a,feature_b,family_b,spearman,pearson,abs_spearman,redundant_ge_0_90
Velocity5s,PERSISTENCE_EXHAUSTION,Dist_VAH_Ticks,AUCTION_THEORY,0.847982544634346,0.8474679894541008,0.847982544634346,0
Delta10s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8455614861126305,0.9011052912203246,0.8455614861126305,1
Velocity3s,PERSISTENCE_EXHAUSTION,Dist_VWAP_Ticks,AUCTION_THEORY,0.8454272730892094,0.8762553694951449,0.8454272730892094,0
Delta10s,FLOW_BURST_QUALITY,PeakNegativeDelta,FLOW_BURST_QUALITY,0.8425946092773866,0.8960345596284678,0.8425946092773866,0
Velocity3s,PERSISTENCE_EXHAUSTION,Dist_VAH_Ticks,AUCTION_THEORY,0.8422071280714314,0.8513111862627355,0.8422071280714314,0
Velocity5s,PERSISTENCE_EXHAUSTION,Dist_POC_Ticks,AUCTION_THEORY,0.8399592895165733,0.8521729814532569,0.8399592895165733,0
Velocity3s,PERSISTENCE_EXHAUSTION,Dist_POC_Ticks,AUCTION_THEORY,0.8382677780493585,0.866103149919162,0.8382677780493585,0
Delta1s,FLOW_BURST_QUALITY,PeakNegativeDelta,FLOW_BURST_QUALITY,0.8378150148076967,0.9280311619847632,0.8378150148076967,1
directional_vwap_distance,AUCTION_THEORY,directional_poc_distance,AUCTION_THEORY,0.8368721590657777,0.8630737622049437,0.8368721590657777,0
PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,signed_velocity_3s,PERSISTENCE_EXHAUSTION,0.8360721473139241,0.8428431773060721,0.8360721473139241,0
Dist_OR_Low_Ticks,AUCTION_THEORY,Dist_VAH_Ticks,AUCTION_THEORY,0.8360280050533943,0.8247563514907792,0.8360280050533943,0
Velocity5s,PERSISTENCE_EXHAUSTION,Dist_VWAP_Ticks,AUCTION_THEORY,0.8358151005880039,0.8633613899655962,0.8358151005880039,0
Delta2s,FLOW_BURST_QUALITY,PeakNegativeDelta,FLOW_BURST_QUALITY,0.8356213396428687,0.9196793559602073,0.8356213396428687,1
PeakNegativeDelta,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.834876473441525,0.9146177900409717,0.834876473441525,1
Profile_Concentration,AUCTION_THEORY,Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,-0.8343943079897861,-0.7498105540391845,0.8343943079897861,0
Profile_Effective_Nodes,AUCTION_THEORY,Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,0.8331504802819878,0.8564244217242546,0.8331504802819878,0
PeakNegativeDelta,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.8330441462971422,0.9261753642727906,0.8330441462971422,1
Delta5s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8301463522073473,0.8859094171444111,0.8301463522073473,0
