Detector_VERSION,BurstId,Burst_Timestamp_UTC,Burst_Feature_Available_Timestamp_UTC,Burst_Timestamp_NY,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Side,Burst_Price,Response_Price,Broken_Level,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Reclaim_Count,Rejection_Speed_TPS,Directional_Delta,Response_Volume,Effort_Result_Delta,Effort_Result_Volume,Momentum_Survival_Ratio,Rotation_Index,Local_Entropy,Path_Efficiency,Response_POC_Migration_Ticks,AvailableBeforeEntry,Model_Eligibility,born_bad_group,fecha
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220608_093102_SELL_0001,2022-06-08 13:31:02+00:00,2022-06-08 13:31:03+00:00,2022-06-08 09:31:02,2022-06-08 13:31:06+00:00,3,SELL,12648.75,12648.75,12660.0,0,5,1,1.0,0,0.333333333333333,-20,410,0.0,0.0,0.333333333333333,0.5,0.91829583405449,0.0,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-06-08
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220608_093102_SELL_0001,2022-06-08 13:31:02+00:00,2022-06-08 13:31:03+00:00,2022-06-08 09:31:02,2022-06-08 13:31:08+00:00,5,SELL,12648.75,12647.5,12660.0,1,5,2,1.0,0,0.4,-22,538,0.045454545454545,0.00185873605948,0.4,0.5,0.970950594454669,0.090909090909091,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-06-08
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220613_093107_SELL_0001,2022-06-13 13:31:07+00:00,2022-06-13 13:31:08+00:00,2022-06-13 09:31:07,2022-06-13 13:31:09+00:00,1,SELL,11537.5,11538.75,11493.75,-1,1,1,0.0,0,1.0,-11,57,-0.090909090909091,-0.017543859649123,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-06-13
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220613_093107_SELL_0001,2022-06-13 13:31:07+00:00,2022-06-13 13:31:08+00:00,2022-06-13 09:31:07,2022-06-13 13:31:11+00:00,3,SELL,11537.5,11545.0,11493.75,-6,1,6,0.0,0,2.0,-32,132,-0.1875,-0.045454545454545,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-06-13
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220613_093107_SELL_0001,2022-06-13 13:31:07+00:00,2022-06-13 13:31:08+00:00,2022-06-13 09:31:07,2022-06-13 13:31:13+00:00,5,SELL,11537.5,11547.5,11493.75,-8,1,9,0.0,0,1.8,-53,233,-0.150943396226415,-0.034334763948498,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-06-13
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220627_093202_SELL_0001,2022-06-27 13:32:02+00:00,2022-06-27 13:32:03+00:00,2022-06-27 09:32:02,2022-06-27 13:32:04+00:00,1,SELL,12166.25,12163.75,12173.75,2,3,0,1.0,0,0.0,18,116,0.111111111111111,0.017241379310345,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-06-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220627_093202_SELL_0001,2022-06-27 13:32:02+00:00,2022-06-27 13:32:03+00:00,2022-06-27 09:32:02,2022-06-27 13:32:06+00:00,3,SELL,12166.25,12165.0,12173.75,1,3,0,1.0,0,0.0,-23,293,0.043478260869565,0.003412969283276,0.333333333333333,1.0,1.0,0.333333333333333,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-06-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220627_093202_SELL_0001,2022-06-27 13:32:02+00:00,2022-06-27 13:32:03+00:00,2022-06-27 09:32:02,2022-06-27 13:32:08+00:00,5,SELL,12166.25,12161.25,12173.75,4,5,1,1.0,0,0.2,30,484,0.133333333333333,0.008264462809917,0.4,1.0,0.91829583405449,0.666666666666667,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-06-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220707_093345_BUY_0001,2022-07-07 13:33:45+00:00,2022-07-07 13:33:46+00:00,2022-07-07 09:33:45,2022-07-07 13:33:47+00:00,1,BUY,11961.25,11961.25,11957.5,0,0,1,1.0,0,1.0,18,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-07-07
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220707_093345_BUY_0001,2022-07-07 13:33:45+00:00,2022-07-07 13:33:46+00:00,2022-07-07 09:33:45,2022-07-07 13:33:49+00:00,3,BUY,11961.25,11963.75,11957.5,2,2,2,1.0,0,0.666666666666667,43,193,0.046511627906977,0.010362694300518,0.333333333333333,0.0,0.0,1.0,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-07-07
