CaseID,fecha,BurstId,burst_side,decision_utc,outcome_path,state_cache_path,pre_overlap_records,overlap_prefix_exact,strict_feature_cutoff_utc_exclusive,year
HB021,2023-10-02,LB_20231002_093150_BUY_0001,BUY,2023-10-02T13:31:51.110000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-10-02_LB_20231002_093150_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20231002_093150_BUY_0001.state.parquet,138,True,2023-10-02T13:31:51.110000+00:00,2023
HB022,2024-07-22,LB_20240722_093156_SELL_0001,SELL,2024-07-22T13:31:57.031000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-07-22_LB_20240722_093156_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240722_093156_SELL_0001.state.parquet,229,True,2024-07-22T13:31:57.031000+00:00,2024
HB023,2024-06-11,LB_20240611_093350_BUY_0001,BUY,2024-06-11T13:33:51.059000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-06-11_LB_20240611_093350_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240611_093350_BUY_0001.state.parquet,292,True,2024-06-11T13:33:51.059000+00:00,2024
HB024,2023-11-02,LB_20231102_093203_SELL_0001,SELL,2023-11-02T13:32:04.053000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-11-02_LB_20231102_093203_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20231102_093203_SELL_0001.state.parquet,110,True,2023-11-02T13:32:04.053000+00:00,2023
HB025,2022-05-27,LB_20220527_093100_BUY_0001,BUY,2022-05-27T13:31:01.019000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220527_093100_BUY_0001.state.parquet,116,True,,2022
HB026,2022-09-06,LB_20220906_093405_BUY_0001,BUY,2022-09-06T13:34:06.074000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-09-06_LB_20220906_093405_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220906_093405_BUY_0001.state.parquet,264,True,,2022
HB027,2023-09-22,LB_20230922_093553_SELL_0001,SELL,2023-09-22T13:35:54.074000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-22_LB_20230922_093553_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230922_093553_SELL_0001.state.parquet,71,True,2023-09-22T13:35:54.074000+00:00,2023
HB028,2022-07-26,LB_20220726_093111_SELL_0001,SELL,2022-07-26T13:31:12.026000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-26_LB_20220726_093111_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220726_093111_SELL_0001.state.parquet,363,True,,2022
HB029,2022-08-04,LB_20220804_093511_BUY_0001,BUY,2022-08-04T13:35:12.032000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-04_LB_20220804_093511_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220804_093511_BUY_0001.state.parquet,116,True,,2022
HB030,2023-05-26,LB_20230526_093357_BUY_0001,BUY,2023-05-26T13:33:58.020000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-05-26_LB_20230526_093357_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230526_093357_BUY_0001.state.parquet,168,True,2023-05-26T13:33:58.020000+00:00,2023
HB031,2024-08-13,LB_20240813_093126_BUY_0001,BUY,2024-08-13T13:31:27.070000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-08-13_LB_20240813_093126_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240813_093126_BUY_0001.state.parquet,160,True,2024-08-13T13:31:27.070000+00:00,2024
HB032,2022-04-05,LB_20220405_093200_BUY_0001,BUY,2022-04-05T13:32:01.026000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-05_LB_20220405_093200_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220405_093200_BUY_0001.state.parquet,274,True,,2022
HB033,2022-08-17,LB_20220817_093558_BUY_0001,BUY,2022-08-17T13:35:59.026000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-17_LB_20220817_093558_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220817_093558_BUY_0001.state.parquet,351,True,,2022
HB034,2022-08-09,LB_20220809_093105_SELL_0001,SELL,2022-08-09T13:31:06.048000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-09_LB_20220809_093105_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220809_093105_SELL_0001.state.parquet,544,True,,2022
HB035,2023-07-18,LB_20230718_093258_SELL_0002,SELL,2023-07-18T13:32:59.057000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-07-18_LB_20230718_093258_SELL_0002_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230718_093258_SELL_0002.state.parquet,127,True,2023-07-18T13:32:59.057000+00:00,2023
