section,segment,metric,value,n
Shape cohort,trend_down,time_to_mfe_seconds_median,60.0,16
Shape cohort,trend_up,events,4.0,4
Shape cohort,trend_up,unique_days,2.0,4
Shape cohort,trend_up,events_per_month,1.3333333333333333,4
Shape cohort,trend_up,mfe_ticks_median,185.0,3
Shape cohort,trend_up,mfe_ticks_mean,211.66666666666666,3
Shape cohort,trend_up,mfe_ticks_p90,253.0,3
Shape cohort,trend_up,mfe_ticks_max,270.0,3
Shape cohort,trend_up,mae_ticks_median,85.0,4
Shape cohort,trend_up,time_to_mfe_seconds_median,240.0,3
Shape cohort,unknown,events,37.0,37
Shape cohort,unknown,unique_days,10.0,37
Shape cohort,unknown,events_per_month,12.333333333333334,37
