setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
score>=6 | TP=150 SL=20,score>=6,150,20,555,45.94594594594595,1.2754180602006688,2.9675675675675675,1647.0,386.0,21.603603603603602,19.783783783783782,1.4954901960784315,27.01414979596704,174,1.5573863636363636,5.637931034482759,381,1.15781990521327,1.7480314960629921,39,1.2966666666666666,0.5356991700282082,2.7048900227507766,0.32319580556340993,0.3555650599543869,13,22.080521871643935
score>=6 | TP=200 SL=20,score>=6,200,20,555,45.94594594594595,1.2754180602006688,2.9675675675675675,1647.0,386.0,21.603603603603602,19.783783783783782,1.4954901960784315,27.01414979596704,174,1.5573863636363636,5.637931034482759,381,1.15781990521327,1.7480314960629921,39,1.2966666666666666,0.5356991700282082,2.7048900227507766,0.32319580556340993,0.3555650599543869,13,22.080521871643935
volume_increasing=FALSE | TP=80 SL=70,volume_increasing=FALSE,80,70,547,52.6508226691042,1.2160083431104158,3.0292504570383914,1657.0,648.0,21.608775137111518,19.387568555758683,1.0893408073697475,35.09154777523118,169,1.6389140271493212,8.355029585798816,378,1.0448635780992492,0.6481481481481481,39,1.2272659669400416,0.8346728674763204,2.545653094575697,0.263929345827789,0.36372905837943204,14,22.064078624652815
regime=OR_large AND score>=7 | TP=30 SL=60,regime=OR_large AND score>=7,30,60,153,63.39869281045751,1.4690930098209127,5.30718954248366,812.0,200.0,25.065359477124183,19.607843137254903,0.8329908818572186,29.862245360495184,85,1.6713362068965518,7.329411764705882,68,1.2353673723536738,2.7794117647058822,32,0.7317073170731707,1.1556427473702295,2.997316878301209,0.49869944459862664,0.7082366779045081,12,22.05707788709269
range>=165 | TP=60 SL=70,range>=165,60,70,116,59.48275862068966,1.4762820512820514,6.405172413793103,743.0,227.0,24.56896551724138,21.982758620689655,1.0055834262356003,36.597215015989086,83,1.727788279773157,9.27710843373494,33,0.9462151394422311,-0.8181818181818182,26,0.8972602739726028,0.9998986789273484,3.2327048724238874,0.5491936830553945,0.9365227764557847,10,22.056630130249385
price_accepted=FALSE | TP=100 SL=80,price_accepted=FALSE,100,80,552,53.07971014492754,1.219708788351534,3.0615942028985508,1690.0,704.0,21.467391304347824,19.456521739130434,1.0740097863300198,35.06524656797871,174,1.649561403508772,8.511494252873563,378,1.0386178861788617,0.5529100529100529,39,1.2272659669400416,0.8227656386566135,2.5969812579309544,0.2647428091500407,0.35234434881981463,15,22.035152336079953
volume_increasing=FALSE | TP=60 SL=50,volume_increasing=FALSE,60,50,547,51.736745886654475,1.2189061444969616,2.963436928702011,1621.0,475.0,21.608775137111518,19.387568555758683,1.1327643675007097,33.30680085264392,169,1.5093416370106763,6.775147928994083,378,1.0923017258095793,1.2592592592592593,39,1.22598515134209,0.7506943498175693,2.510030712243886,0.26606438101602703,0.36372905837943204,13,21.98103283390935
price_accepted=FALSE | TP=60 SL=100,price_accepted=FALSE,60,100,552,53.2608695652174,1.2184567257559957,3.036231884057971,1676.0,716.0,21.467391304347824,19.456521739130434,1.0651135323785406,34.88158020619421,174,1.5838000861697543,7.787356321839081,378,1.0599887871425901,0.8492063492063492,39,1.2492131616595135,0.7601637900645603,2.5715709818757375,0.2646490561312209,0.35234434881981463,15,21.9703938843422
price_accepted=FALSE | TP=120 SL=80,price_accepted=FALSE,120,80,552,53.07971014492754,1.219188767550702,3.0543478260869565,1686.0,704.0,21.467391304347824,19.456521739130434,1.0735518840548843,35.0455852884887,174,1.6478070175438597,8.488505747126437,378,1.0386178861788617,0.5529100529100529,39,1.2272659669400416,0.8228636103979884,2.599234214008646,0.2647428091500407,0.35234434881981463,15,21.961199137949407
price_accepted=FALSE | TP=150 SL=80,price_accepted=FALSE,150,80,552,53.07971014492754,1.219188767550702,3.0543478260869565,1686.0,704.0,21.467391304347824,19.456521739130434,1.0735518840548843,35.0455852884887,174,1.6478070175438597,8.488505747126437,378,1.0386178861788617,0.5529100529100529,39,1.2272659669400416,0.8228636103979884,2.599234214008646,0.2647428091500407,0.35234434881981463,15,21.961199137949407
