fecha,BurstId,family,split,kmeans_2,gmm_2,kmeans_3,gmm_3,dbscan,hdbscan
2025-09-30,LB_20250930_093313_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,1,1,0,0,UNAVAILABLE
2025-10-01,LB_20251001_093134_BUY_0001,A_TRUE_ABSORPTION,holdout,0,1,1,0,-1,UNAVAILABLE
2025-10-02,LB_20251002_093721_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,0,1,1,-1,UNAVAILABLE
2025-10-08,LB_20251008_093125_BUY_0001,B_CLEAN_BREAKOUT,holdout,0,1,1,0,-1,UNAVAILABLE
2025-10-13,LB_20251013_093429_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2025-10-17,LB_20251017_093426_BUY_0002,C_MIXED_PATH,holdout,1,0,2,1,-1,UNAVAILABLE
2025-10-20,LB_20251020_093100_BUY_0001,C_MIXED_PATH,holdout,0,1,1,2,-1,UNAVAILABLE
2025-10-22,LB_20251022_093346_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2025-10-27,LB_20251027_093502_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,0,1,1,0,UNAVAILABLE
2025-10-30,LB_20251030_093452_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-03-11,LB_20260311_093757_BUY_0001,A_TRUE_ABSORPTION,holdout,1,0,2,1,-1,UNAVAILABLE
2026-03-24,LB_20260324_093135_SELL_0001,A_TRUE_ABSORPTION,holdout,1,0,0,2,-1,UNAVAILABLE
2026-03-31,LB_20260331_093135_BUY_0001,A_TRUE_ABSORPTION,holdout,1,1,1,2,-1,UNAVAILABLE
2026-04-10,LB_20260410_093110_BUY_0001,C_MIXED_PATH,holdout,0,1,1,0,-1,UNAVAILABLE
2026-04-30,LB_20260430_093337_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-05-14,LB_20260514_093203_BUY_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-05-18,LB_20260518_093500_SELL_0001,A_TRUE_ABSORPTION,holdout,1,0,2,1,-1,UNAVAILABLE
2026-05-19,LB_20260519_093215_BUY_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-05-20,LB_20260520_093514_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-05-29,LB_20260529_093201_BUY_0001,A_TRUE_ABSORPTION,holdout,1,0,2,1,-1,UNAVAILABLE
2026-06-03,LB_20260603_093152_BUY_0001,C_MIXED_PATH,holdout,0,1,0,0,-1,UNAVAILABLE
2026-06-24,LB_20260624_093230_BUY_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,-1,UNAVAILABLE
2026-06-25,LB_20260625_093109_SELL_0001,A_TRUE_ABSORPTION,holdout,1,0,2,1,-1,UNAVAILABLE
2026-07-08,LB_20260708_093155_BUY_0001,C_MIXED_PATH,holdout,1,0,2,1,-1,UNAVAILABLE
