feature_a,feature_b,spearman,pearson,abs_spearman,abs_pearson,redundant_ge_0_90
Delta2s,PeakPositiveDelta,0.8274493093720768,0.9267528908401923,0.8274493093720768,0.9267528908401923,1
Realized_Volatility_10s_Ticks,signed_velocity_1s,0.8265985657614022,0.8949295186471288,0.8265985657614022,0.8949295186471288,0
Delta10s,PeakPositiveDelta,0.8251183337849353,0.8836946080010439,0.8251183337849353,0.8836946080010439,0
Profile_Position_Percentile,Delta_AtEntry,0.8242792213182226,0.8619550661682146,0.8242792213182226,0.8619550661682146,0
Velocity1s,Dist_VWAP_Ticks,0.8220505590337988,0.8474121127491591,0.8220505590337988,0.8474121127491591,0
TicksPerSecond,Dist_VWAP_Ticks,0.8220505590337988,0.8474121127491591,0.8220505590337988,0.8474121127491591,0
TicksPerSecond,Dist_VAH_Ticks,0.821432347761217,0.8038001495634515,0.821432347761217,0.8038001495634515,0
Velocity1s,Dist_VAH_Ticks,0.821432347761217,0.8038001495634515,0.821432347761217,0.8038001495634515,0
Velocity5s,Dist_VAH_Ticks,0.8197304318380296,0.8299504380993695,0.8197304318380296,0.8299504380993695,0
Flow_1_3_DirectionalNetDelta,Flow_1_3_CounterflowShare,-0.8191792184696532,-0.8104107466134388,0.8191792184696532,0.8104107466134388,0
Flow_0_1_DirectionalVelocityTPS,Flow_0_1_TicksPerAggressiveContract,0.8173438203598872,0.7775446073588468,0.8173438203598872,0.7775446073588468,0
Velocity3s,Dist_POC_Ticks,0.8168916544211662,0.8446671357679265,0.8168916544211662,0.8446671357679265,0
Dist_OR_Low_Ticks,Dist_VAH_Ticks,0.8167598537967357,0.8142338981932765,0.8167598537967357,0.8142338981932765,0
Acceleration3s,Dist_VWAP_Ticks,0.816247119212962,0.814332711943264,0.816247119212962,0.814332711943264,0
PeakPositiveDelta,DeltaChange1s,0.8156817361529152,0.9132697392153978,0.8156817361529152,0.9132697392153978,1
POC_Migration_Ticks,Delta_Change_AtEntry,-0.8153742483272113,-0.5753615912339853,0.8153742483272113,0.5753615912339853,0
POC_Migration_Ticks,Previous_Delta_AtEntry,0.8153742483272113,0.5156819934351811,0.8153742483272113,0.5156819934351811,0
Velocity1s,Dist_POC_Ticks,0.814994077502485,0.8187278399350117,0.814994077502485,0.8187278399350117,0
TicksPerSecond,Dist_POC_Ticks,0.814994077502485,0.8187278399350117,0.814994077502485,0.8187278399350117,0
Acceleration3s,Profile_Position_Percentile,0.814362105159422,0.7252051468824965,0.814362105159422,0.7252051468824965,0
