request_id,fecha,BurstId,split,family_label_only,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_seconds,post_download_filter,predictor_policy
NQ_MBO_2024-05-28_LB_20240528_093142_BUY_0001,2024-05-28,LB_20240528_093142_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-05-28T13:31:33.048095Z,2024-05-28T13:31:43.049095Z,2024-05-28T13:31:43.048095Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-06-05_LB_20240605_093547_SELL_0002,2024-06-05,LB_20240605_093547_SELL_0002,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-06-05T13:35:38.054540Z,2024-06-05T13:35:48.055540Z,2024-06-05T13:35:48.054540Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-06-06_LB_20240606_093413_BUY_0001,2024-06-06,LB_20240606_093413_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-06-06T13:34:04.079319Z,2024-06-06T13:34:14.080319Z,2024-06-06T13:34:14.079319Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-06-11_LB_20240611_093350_BUY_0001,2024-06-11,LB_20240611_093350_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-06-11T13:33:41.059816Z,2024-06-11T13:33:51.060816Z,2024-06-11T13:33:51.059816Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-06-13_LB_20240613_093209_BUY_0001,2024-06-13,LB_20240613_093209_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-06-13T13:32:00.037595Z,2024-06-13T13:32:10.038595Z,2024-06-13T13:32:10.037595Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-06-14_LB_20240614_093644_BUY_0001,2024-06-14,LB_20240614_093644_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-06-14T13:36:35.081257Z,2024-06-14T13:36:45.082257Z,2024-06-14T13:36:45.081257Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-08_LB_20240708_093223_BUY_0001,2024-07-08,LB_20240708_093223_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-08T13:32:14.063515Z,2024-07-08T13:32:24.064515Z,2024-07-08T13:32:24.063515Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-12_LB_20240712_093101_BUY_0001,2024-07-12,LB_20240712_093101_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-12T13:30:52.044351Z,2024-07-12T13:31:02.045351Z,2024-07-12T13:31:02.044351Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-16_LB_20240716_093212_BUY_0001,2024-07-16,LB_20240716_093212_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-16T13:32:03.083597Z,2024-07-16T13:32:13.084597Z,2024-07-16T13:32:13.083597Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-18_LB_20240718_093155_SELL_0001,2024-07-18,LB_20240718_093155_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-18T13:31:46.057671Z,2024-07-18T13:31:56.058671Z,2024-07-18T13:31:56.057671Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-22_LB_20240722_093156_SELL_0001,2024-07-22,LB_20240722_093156_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-22T13:31:47.031422Z,2024-07-22T13:31:57.032422Z,2024-07-22T13:31:57.031422Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-26_LB_20240726_093346_SELL_0001,2024-07-26,LB_20240726_093346_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-26T13:33:37.092358Z,2024-07-26T13:33:47.093358Z,2024-07-26T13:33:47.092358Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-07-30_LB_20240730_093638_BUY_0001,2024-07-30,LB_20240730_093638_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-07-30T13:36:29.134783Z,2024-07-30T13:36:39.135783Z,2024-07-30T13:36:39.134783Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-08-08_LB_20240808_093753_SELL_0001,2024-08-08,LB_20240808_093753_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-08-08T13:37:44.045415Z,2024-08-08T13:37:54.046415Z,2024-08-08T13:37:54.045415Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-08-13_LB_20240813_093126_BUY_0001,2024-08-13,LB_20240813_093126_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-08-13T13:31:17.070102Z,2024-08-13T13:31:27.071102Z,2024-08-13T13:31:27.070102Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-08-14_LB_20240814_093352_SELL_0001,2024-08-14,LB_20240814_093352_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-08-14T13:33:43.036680Z,2024-08-14T13:33:53.037680Z,2024-08-14T13:33:53.036680Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
