request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2023-05-11_LB_20230511_093202_SELL_0001,DISCOVERY_100,2023-05-11,LB_20230511_093202_SELL_0001,B_CLEAN_BREAKOUT,SELL,2023-05-11T00:00:00.000000Z,2023-05-11T13:32:03.023000Z,13.534173055555556,0.242118139565
NQ_MBO_SNAPSHOT_2023-05-18_LB_20230518_093436_BUY_0001,DISCOVERY_100,2023-05-18,LB_20230518_093436_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-05-18T00:00:00.000000Z,2023-05-18T13:34:37.130000Z,13.576980555555554,0.177762423456
NQ_MBO_SNAPSHOT_2023-05-22_LB_20230522_093356_BUY_0001,DISCOVERY_100,2023-05-22,LB_20230522_093356_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-05-22T00:00:00.000000Z,2023-05-22T13:33:57.065000Z,13.56585138888889,0.199216488004
NQ_MBO_SNAPSHOT_2023-05-26_LB_20230526_093357_BUY_0001,DISCOVERY_100,2023-05-26,LB_20230526_093357_BUY_0001,A_TRUE_ABSORPTION,BUY,2023-05-26T00:00:00.000000Z,2023-05-26T13:33:58.020000Z,13.566116666666666,0.231089995801
NQ_MBO_SNAPSHOT_2023-05-31_LB_20230531_093156_BUY_0001,DISCOVERY_100,2023-05-31,LB_20230531_093156_BUY_0001,C_MIXED_PATH,BUY,2023-05-31T00:00:00.000000Z,2023-05-31T13:31:57.052000Z,13.532514444444445,0.236457712948
NQ_MBO_SNAPSHOT_2023-06-05_LB_20230605_093500_BUY_0001,DISCOVERY_100,2023-06-05,LB_20230605_093500_BUY_0001,C_MIXED_PATH,BUY,2023-06-05T00:00:00.000000Z,2023-06-05T13:35:01.036000Z,13.58362111111111,0.181395944953
NQ_MBO_SNAPSHOT_2023-06-13_LB_20230613_093139_SELL_0001,DISCOVERY_100,2023-06-13,LB_20230613_093139_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-06-13T00:00:00.000000Z,2023-06-13T13:31:40.043000Z,13.527789722222222,0.219382931292
NQ_MBO_SNAPSHOT_2023-06-22_LB_20230622_093240_BUY_0001,DISCOVERY_100,2023-06-22,LB_20230622_093240_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-06-22T00:00:00.000000Z,2023-06-22T13:32:41.030000Z,13.544730555555557,0.22164490521
NQ_MBO_SNAPSHOT_2023-06-23_LB_20230623_093159_BUY_0001,DISCOVERY_100,2023-06-23,LB_20230623_093159_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-06-23T00:00:00.000000Z,2023-06-23T13:32:00.009000Z,13.533335833333332,0.213370652497
NQ_MBO_SNAPSHOT_2023-06-30_LB_20230630_093123_BUY_0001,DISCOVERY_100,2023-06-30,LB_20230630_093123_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-06-30T00:00:00.000000Z,2023-06-30T13:31:24.087000Z,13.5233575,0.177124339342
