CaseID,png_sha256,png_bytes,saturation_fraction,packets,excluded_boundary_records,unknown_state_rows,max_event_seconds
HB077,e0e7b10190ead655c559193c80fb4c8c0a2b69dafd75f0d2141be3844abd2a9b,164495,0.016973125884016973,5130,1,0,4.999049
HB078,83627d13a78edbd4dc97ecf1afd37e816f014a80fd6cfe7a58a197d8d1043296,192379,0.013672795851013672,6328,1,0,4.993245
HB079,063f9cc90be1dee012dcafc6d3d2bb932a7e827c4dbfb739c86cda70718d8ad4,182943,0.03818953323903819,7341,3,0,4.994758
HB080,c6568bef522f285f04514296e24d3bb483a50f478bab4219d49f99fc2c652826,181189,0.010843941537010843,5209,1,0,4.992697
HB081,7d16c9e508afc5b155de9bd4a0b3492ada88e6b5d60b169b28409d8fa94503b8,231258,0.021216407355021217,5746,1,0,4.999329
HB082,58f3dc6580553e0c5de500aedc039c67904950f9abea088b06ffffa99353847e,118232,0.013201320132013201,7526,1,0,4.9992
HB083,fd4c2a769c904c1e0ec91a53d625939fcaef276fa21520caff2318fdc0a27ab9,143379,0.01272984441301273,3918,1,0,4.997577
HB084,1c8f7b015f09f93d541973bfaa45d9171a1edddeaae112323c6bd265eee8c84e,157803,0.02215935879302216,3702,1,0,4.991703
HB085,649aa6a136fd185f726e67b22663a6abe5f56e3de191518b4f12112ef3dfabd1,254631,0.011786892975011787,8737,1,0,4.998443
HB086,6aa048f23603f846bdefcc9e9284368571128933f85e63866c56fc80213f1f7c,176031,0.02215935879302216,6493,1,0,4.990248
HB087,adf003ce1c70789b048e24e0b418578181f5da6d7de0f6ba96f9d24ff4c6096e,238496,0.017444601603017446,6317,1,0,4.997502
HB088,43554a5fd94bbbce930485adc7247a94e8112bc7b64c6ddcc623c06561c3bdb5,169579,0.013201320132013201,5659,1,0,4.972391
HB089,b75755654276babce605c0df74917ff810f21680ba15d7a3a41cb7c5a3b88e56,199476,0.012258368694012258,9582,1,0,4.999999
HB090,a2ff1eb572a445c2ddca0065ea51b52aafcb753bffe7566982c55ded142cf542,219306,0.009900990099009901,4745,1,0,4.9967
HB091,dd9b22ac57d064b01f5e2ae5fd30ba6a78ae9135aec7d6ceee28b49c968f1f9f,175327,0.015558698727015558,6938,1,0,4.998856
HB092,e504cd844b69a5a9d0398b214e939daab4f615ecadb06c8d9cbefed62c0d0d65,189300,0.020273455917020275,2771,1,0,4.998481
HB093,231575524dfa42b5642c18d822187056abac6e41b45861df2946a967b64e8d37,199979,0.033003300330033,6187,1,0,4.998694
HB094,53aeb03a5f4a362e978f593fb8a96aa9a05c807efdb57d8f080889b1a94ec54c,137286,0.02215935879302216,6445,1,0,4.999157
HB095,faf947491ffe1fb56c1ab81edc690c0c847b5daf695a40b61d427f583a0d85c9,193356,0.011786892975011787,5678,1,0,4.996461
HB096,cb88d568012738f3eb42d8d2eb3199cf276d49ef65f839f8fbf626a63bcaff7e,214716,0.026402640264026403,5056,1,0,4.998914
HB097,31c4a99c28809a320e9dbbaf23861834452b58ecc52bae83dc741855f694418e,127778,0.015087223008015087,6107,1,0,4.99464
HB098,973f9b3980f9e4006b0263b0e15c01d3a2d72fc14315505e98376adfaf3fbfaf,216843,0.009900990099009901,7815,1,0,4.9999839999999995
