concept,action,train_end,test_start,test_end,threshold,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
FADE_absorption_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,27,14,13,0.5185185185185185,1.0769230769230769,0.9423076923076923,0.3398561575495229
FADE_absorption_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,30,20,10,0.6666666666666666,2.0,1.75,0.4878005164454384
FADE_absorption_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,30,11,19,0.36666666666666664,0.5789473684210527,0.506578947368421,0.21873920806100713
FADE_absorption_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,30,19,11,0.6333333333333333,1.7272727272727273,1.5113636363636365,0.45513563654794875
FADE_absorption_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,35,16,19,0.45714285714285713,0.8421052631578947,0.7368421052631579,0.3046601928840722
FADE_absorption_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,32,14,18,0.4375,0.7777777777777778,0.6805555555555556,0.2816533111504037
FADE_absorption_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,4,2,2,0.5,1.0,0.875,0.15003898915214958
FADE_trapped_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,-1.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_trapped_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,-1.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_trapped_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,-1.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_trapped_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,-1.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_trapped_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,-1.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_trapped_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,-1.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_trapped_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,-1.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_iceberg_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_iceberg_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_iceberg_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_iceberg_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_iceberg_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_iceberg_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
