date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2024-03-25,2024,-4,EDT_SEEN,2024-03-25T13:32:04+00:00,18461.0,18442.0,5279.0,5275.5,2024-03-25T13:32:03+00:00,1.0,5280.0,True,60.0,56.0,-25.0,-29.0,TP
2024-03-26,2024,-4,EDT_SEEN,2024-03-26T13:31:38+00:00,18569.75,18550.0,5290.75,5287.0,2024-03-26T13:31:37+00:00,1.0,5287.75,False,60.0,56.0,-45.0,-49.0,TP
2024-04-03,2024,-4,EDT_SEEN,2024-04-03T13:31:01+00:00,18259.0,18239.5,5251.25,5247.0,2024-04-03T13:31:00+00:00,1.0,5248.25,False,60.0,56.0,-51.0,-55.0,TP
2024-04-05,2024,-4,EDT_SEEN,2024-04-05T13:31:22+00:00,18146.75,18123.5,5212.25,5206.75,2024-04-05T13:31:21+00:00,1.0,5211.75,False,60.0,56.0,-20.0,-24.0,TP
2024-04-09,2024,-4,EDT_SEEN,2024-04-09T13:31:06+00:00,18402.25,18379.25,5273.0,5270.0,2024-04-09T13:31:05+00:00,1.0,5270.5,False,-60.0,-64.0,-67.0,-71.0,SL
2024-04-16,2024,-4,EDT_SEEN,2024-04-16T13:32:41+00:00,17875.0,17846.25,5108.0,5103.25,2024-04-16T13:32:40+00:00,1.0,5106.25,False,-60.0,-64.0,-81.0,-85.0,SL
2024-04-25,2024,-4,EDT_SEEN,2024-04-25T13:31:13+00:00,17354.75,17328.25,5041.25,5036.75,2024-04-25T13:31:12+00:00,1.0,5040.25,False,-60.0,-64.0,-65.0,-69.0,SL
2024-04-30,2024,-4,EDT_SEEN,2024-04-30T13:34:09+00:00,17849.5,17824.0,5133.25,5127.75,2024-04-30T13:34:08+00:00,1.0,5130.5,False,-60.0,-64.0,-61.0,-65.0,SL
2024-05-07,2024,-4,EDT_SEEN,2024-05-07T13:31:15+00:00,18212.75,18197.5,5217.0,5214.0,2024-05-07T13:31:14+00:00,1.0,5216.5,False,60.0,56.0,-20.0,-24.0,TP
2024-05-08,2024,-4,EDT_SEEN,2024-05-08T13:31:07+00:00,18100.75,18078.5,5196.25,5191.25,2024-05-08T13:31:06+00:00,1.0,5195.5,False,60.0,56.0,-35.0,-39.0,TP
2024-05-10,2024,-4,EDT_SEEN,2024-05-10T13:31:46+00:00,18275.75,18257.25,5255.75,5250.75,2024-05-10T13:31:45+00:00,1.0,5253.5,False,60.0,56.0,-3.0,-7.0,TP
