experiment,feature_set,feature,mechanism_family,mean_abs_shap_oos,spearman_value_vs_shap_oos,median_shap_A_minus_B_oos,coverage_oos_pct,importance_rank
DISCOVERY_TO_NEW,BURST_MECHANISM,burst_efficiency_score,BURST_INTENSITY,0.007688556768642206,0.8321595830236819,0.003348140931036487,100.0,64
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_Aligned_Segment_Count,FLOW_PERSISTENCE,0.007476745784728677,0.7578679304019618,0.0003681617450056367,100.0,65
DISCOVERY_TO_NEW,BURST_MECHANISM,DeltaPercentile,BURST_INTENSITY,0.0070698285292353,0.6648905360622379,-0.0012704466621009146,100.0,66
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Price_Per_Volume_3s,EFFORT_RESULT,0.006995653608127954,0.31429718567111725,0.0,100.0,67
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta_Retention_3_5,FLOW_PERSISTENCE,0.006884653118381212,0.4200327519011383,0.0,97.77777777777777,68
DISCOVERY_TO_NEW,BURST_MECHANISM,Prior_Full_Crosses_60s,LEVEL_MEMORY,0.0067891961406088795,-0.3821453874939429,-0.004156696713567554,100.0,69
DISCOVERY_TO_NEW,BURST_MECHANISM,price_impact_per_100_contracts,BURST_INTENSITY,0.005849276256993092,-0.5692293442629283,-0.0010950575718151729,100.0,70
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_0_1_DirectionalVelocityTPS,FLOW_PERSISTENCE,0.005574249526734394,0.5030239274644114,-0.000235896963104536,100.0,71
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta2s,BURST_INTENSITY,0.005342614620836421,0.6355254981835124,0.0,100.0,72
DISCOVERY_TO_NEW,BURST_MECHANISM,Realized_Volatility_60s_Ticks,BURST_INTENSITY,0.004871014065505627,-0.8137025739617102,-0.010527987547402,100.0,73
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_REJECTION,0.00437163059127613,-0.05441906021186704,0.0,100.0,74
DISCOVERY_TO_NEW,BURST_MECHANISM,Acceleration3s,BURST_INTENSITY,0.004103555487621957,-0.7259589013310648,-0.0006548178847474934,100.0,75
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_0_1_GrossAggressive,FLOW_PERSISTENCE,0.004035671216244065,0.19558336463656792,0.0,100.0,76
DISCOVERY_TO_NEW,BURST_MECHANISM,Velocity5s,BURST_INTENSITY,0.003971102348275299,-0.1742637990631162,-0.0019066282612727505,100.0,77
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Local_Entropy_10s,BURST_INTENSITY,0.00375705077262551,0.26678465110598437,0.0015675794671290884,100.0,78
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta1s,BURST_INTENSITY,0.003576446444283242,-0.36390471294608545,0.00129124428772443,100.0,79
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta3s,BURST_INTENSITY,0.002822205377119583,0.43598960006865395,0.0,100.0,80
DISCOVERY_TO_NEW,BURST_MECHANISM,signed_velocity_3s,BURST_INTENSITY,0.0025781669918775907,0.8493845288020085,0.0,100.0,81
DISCOVERY_TO_NEW,BURST_MECHANISM,signed_delta_1s,BURST_INTENSITY,0.002303300703569215,-0.7428097703132687,0.0,100.0,82
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Impulse_Decay_Slope_5s,BURST_INTENSITY,0.0018083609385902955,-0.19204514458352587,0.0,100.0,83
DISCOVERY_TO_NEW,BURST_MECHANISM,profile_confluence_4t,AUCTION_CONTEXT,0.00026818572270725054,0.2476238428899115,0.0,100.0,84
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_LVN_Ticks,BURST_INTENSITY,4.539803222252958e-05,-0.05309118231434806,-5.759543850948973e-06,100.0,85
DISCOVERY_TO_NEW,BURST_MECHANISM,Acceleration1s,BURST_INTENSITY,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Reclaim_Count_10s,ACCEPTANCE_REJECTION,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Impulse_Survival_Seconds,BURST_INTENSITY,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,signed_velocity_1s,BURST_INTENSITY,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,Velocity3s,BURST_INTENSITY,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,Velocity1s,BURST_INTENSITY,0.0,,0.0,100.0,86
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_Conflict_Segment_Count,FLOW_PERSISTENCE,0.0,,0.0,100.0,86
THROUGH_2025_TO_2026,BURST_MECHANISM,Flow_3_5_GrossAggressive,FLOW_PERSISTENCE,0.336250221529078,0.9272727272727275,-0.09577112828570195,100.0,1
