feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
Body_AtEntry,1.0,0.9570804329378665,-0.058671268334771355,0.058671268334771355,0.9223468507333908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
PeakPositiveDelta,1.0,0.9570804329378665,0.057808455565142365,0.057808455565142365,0.8408110440034512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
DeltaChange1s,1.0,0.9570804329378665,0.05306298533218291,0.05306298533218291,0.8339085418464194,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
execution_side_sign,1.0,0.9570804329378665,-0.05090595340811044,0.05090595340811044,0.9490940465918896,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
signed_delta_change_1s,1.0,0.9570804329378665,-0.04314063848144953,0.04314063848144953,0.7942191544434858,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta_AtEntry,1.0,0.9570804329378665,-0.03968938740293356,0.03968938740293356,0.7480586712683348,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
seconds_from_open,1.0,0.9570804329378665,-0.03968938740293356,0.03968938740293356,0.9089732528041414,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
minute_from_open,1.0,0.9570804329378665,-0.03968938740293356,0.03968938740293356,0.9089732528041415,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_VAH_Ticks,1.0,0.9570804329378665,-0.038395168248490076,0.038395168248490076,0.7157031924072477,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
ContractsPerSecond,1.0,0.9570804329378665,0.03796376186367558,0.03796376186367558,0.9124245038826575,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
weekday_index,1.0,0.9570804329378665,0.036669542709232096,0.036669542709232096,0.7812769628990508,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
signed_delta_1s,1.0,0.9570804329378665,0.03537532355478861,0.03537532355478861,0.8735979292493529,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Velocity1s,1.0,0.9570804329378665,-0.03278688524590164,0.03278688524590164,0.8528904227782571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
TicksPerSecond,1.0,0.9570804329378665,-0.03278688524590164,0.03278688524590164,0.8528904227782571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
