feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
PeakNegativeDelta,38,61,-103.65789473684211,-40.5,107.73046353667313,-244.9,-172.0,-9.0,-5.699999999999996,-103.55737704918033,-124.0,87.43579064855992,-210.0,-175.0,-16.0,-9.0,-0.0010504928910359858,0.0642795513373598,0.8438308886971528,0.5943651387502185,0.41539722095173087,0.9961501647114951,0.995954696479839,0.9975012493753124,-40.18239861949957,39.81392364106987,0.9570804329378665,1.0,0.0642795513373598
delta_persistence_3_5,38,61,0.6424528078422194,0.612368932038835,0.09561927602629111,0.5546073927921817,0.5907358156028369,0.6593709884467266,0.8056420233463036,0.6524941682695917,0.6253968253968254,0.12737594707292044,0.5484662576687117,0.5888198757763975,0.7008849557522124,0.7714285714285715,-0.08634744161216948,-0.062122519413287315,0.725625539257981,0.6069278460052698,0.5796055565614926,0.6565304549297435,0.6770026264088307,0.6711644177911045,-0.05412156000355205,0.034439078337195395,0.9570804329378665,1.0,0.062122519413287315
Delta5s,38,61,2.1578947368421053,145.0,250.72581409760647,-332.3,-222.0,224.75,271.4000000000001,-11.60655737704918,-156.0,245.76576101975124,-305.0,-216.0,197.0,290.0,0.05557589607022963,0.059534081104400345,0.7553925798101813,0.6220989392122792,0.5056658264039057,0.7896700668127805,0.7885612170181634,0.8035982008995503,-84.69572907679034,112.23050043140638,0.9570804329378665,1.0,0.059534081104400345
Body_AtEntry,38,61,24.210526315789473,22.5,14.543797590868543,8.5,11.25,30.0,40.0,29.83606557377049,25.0,27.385629034141765,5.0,10.0,35.0,60.0,-0.2410635811989127,-0.058671268334771355,0.9223468507333908,0.6250297786084452,0.7795187208862041,0.1863399829859706,0.24628742917282825,0.263368315842079,-13.785806729939601,2.5280953408110447,0.9570804329378665,1.0,0.058671268334771355
PeakPositiveDelta,38,61,103.6842105263158,123.5,87.10047173458312,7.4,19.0,178.0,190.0,100.22950819672131,61.0,100.41221596376656,8.0,16.0,164.0,220.0,0.03615461330406345,0.057808455565142365,0.8408110440034512,0.6322392388857058,0.857570886691835,0.8569112116216397,0.8614870895483301,0.8650674662668666,-33.042471958585,40.23174072476271,0.9570804329378665,1.0,0.057808455565142365
DeltaChange1s,38,61,1.763157894736842,102.5,186.24198647161523,-213.6,-146.5,152.5,185.9,-7.278688524590164,-96.0,176.71126460486713,-188.0,-162.0,147.0,206.0,0.05011940419410238,0.05306298533218291,0.8339085418464194,0.6607127224881988,0.6518671624674176,0.8113291167689659,0.8088904085325344,0.7931034482758621,-64.62453623813632,84.74367989646233,0.9570804329378665,1.0,0.05306298533218291
execution_side_sign,38,61,-0.05263157894736842,-1.0,1.012018812480112,-1.0,-1.0,1.0,1.0,0.04918032786885246,1.0,1.007078770639727,-1.0,-1.0,1.0,1.0,-0.10090717611141763,-0.05090595340811044,0.9490940465918896,0.6269490182276702,0.9999984336113278,0.6271167747183248,0.626459684172595,0.6656671664167916,-0.5090595340811044,0.29249352890422775,0.9570804329378665,1.0,0.05090595340811044
signed_delta_change_1s,38,61,169.44736842105263,149.0,72.11690860263727,103.1,122.25,184.75,281.7000000000001,165.34426229508196,157.0,59.045430318781264,107.0,133.0,188.0,242.0,0.06376680342433495,-0.04314063848144953,0.7942191544434858,0.7216922840931561,0.7952978618111998,0.769229623323692,0.7583211104712341,0.767616191904048,-21.45469154443487,31.897325280414154,0.9570804329378665,1.0,0.04314063848144953
Delta_AtEntry,38,61,7.973684210526316,143.5,342.8537224013153,-371.6,-334.0,290.75,404.9000000000001,18.065573770491802,-118.0,363.1464290912808,-413.0,-262.0,317.0,479.0,-0.028384475624532293,-0.03968938740293356,0.7480586712683348,0.7433828599390643,0.4614572807191326,0.8896241797487972,0.8910410088459921,0.8905547226386806,-150.3533433994823,129.91696505608246,0.9570804329378665,1.0,0.03968938740293356
seconds_from_open,38,61,187.97368421052633,180.0,97.48166476029286,72.1,100.75,259.5,302.0,202.40983606557376,192.0,114.89145269183143,62.0,103.0,301.0,359.0,-0.13295354068286996,-0.03968938740293356,0.9089732528041414,0.7432932422552707,0.8508379067499722,0.5056208035919245,0.5215230136750656,0.5262368815592204,-55.32114969801554,29.057937877480533,0.9570804329378665,1.0,0.03968938740293356
