setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
range<=140 | TP=40 SL=30,range<=140,40,30,383,46.99738903394256,1.01390937829294,0.17232375979112272,66.0,454.0,20.287206266318538,19.765013054830288,1.14346446551926,25.9760575742181,73,1.174496644295302,2.136986301369863,310,0.9766294468969099,-0.2903225806451613,37,1.1235294117647059,0.5774848855244391,15.440376764188793,0.39240930052590967,0.47284003387875867,15,0.2029796541088858
side=BUY AND score>=8 | TP=20 SL=70,side=BUY AND score>=8,20,70,211,58.29383886255924,1.0135970333745365,0.15639810426540285,33.0,448.0,22.10900473933649,19.502369668246445,0.7251751133086115,25.382018275276543,71,1.36986301369863,3.8028169014084505,140,0.8603417796110784,-1.6928571428571428,37,1.0,0.7491308068235223,7.622035263824082,0.35155920327433604,0.42122811094264034,15,0.2550782332050783
or_regime=OR_mid | TP=30 SL=20,or_regime=OR_mid,30,20,183,45.90163934426229,1.0141414141414142,0.15300546448087432,28.0,240.0,21.91256830601093,20.983606557377048,1.1952380952380952,22.1785605621704,50,1.3145833333333334,3.02,133,0.918,-0.924812030075188,35,1.0,0.9551428228507158,13.68260761075173,0.5557483687075707,0.5167177571302984,14,0.1391728664182476
regime=OR_mid AND score>=8 | actual,regime=OR_mid AND score>=8,,,148,50.67567567567568,1.0092281879194631,0.14864864864864866,22.0,358.0,21.993243243243242,21.62162162162162,0.9823154362416107,36.752225137849756,42,1.5034602076124568,6.928571428571429,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9078429750827915,5.689214344231999,0.4233943277774019,0.4736738693469058,14,0.2555834148268366
side=BUY | TP=40 SL=50,side=BUY,40,50,279,50.89605734767025,1.0107923137667807,0.14695340501792115,41.0,515.0,20.64516129032258,19.767025089605735,0.9752010351130208,29.45506118095972,92,1.1732824427480917,2.467391304347826,187,0.9252711932503013,-0.9946524064171123,38,1.2727272727272727,0.7568127719557752,6.304906967907292,0.3552309771517322,0.4070978800471474,15,0.322235252888722
score>=5 | TP=30 SL=40,score>=5,30,40,562,51.779359430604984,1.0115574348132488,0.14590747330960854,82.0,644.0,21.699288256227756,19.697508896797153,0.9420345870597608,26.403020528441278,176,1.164943820224719,2.085227272727273,386,0.9414784394250514,-0.7383419689119171,39,1.0801021267044497,0.5522227161054893,6.342747551504288,0.2496396051295673,0.3608393242616028,15,0.4527984489528384
regime=OR_mid AND score>=7 | actual,regime=OR_mid AND score>=7,,,154,50.649350649350644,1.008716323296355,0.14285714285714285,22.0,458.0,22.305194805194805,21.818181818181817,0.9828518021861922,37.37784960985025,42,1.5034602076124568,6.928571428571429,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.9038934347395148,5.537111627216457,0.41646445380706787,0.48210768005462845,14,0.2563960555911964
regime=OR_mid AND score>=8 | TP=50 SL=50,regime=OR_mid AND score>=8,50,50,148,50.0,1.0095108695652173,0.14189189189189189,21.0,295.0,21.993243243243242,21.62162162162162,1.0095108695652173,32.711272503180744,42,1.3917710196779964,5.214285714285714,106,0.8799272286234081,-1.8679245283018868,31,0.9227272727272727,0.7898536978417402,6.240439499265879,0.4233476510568323,0.4736738693469058,14,0.22654641926950178
delta_with_side=FALSE | TP=30 SL=30,delta_with_side=FALSE,30,30,216,49.074074074074076,1.0118670886075949,0.1388888888888889,30.0,460.0,20.578703703703702,19.00462962962963,1.0500507523286362,24.068877263245543,57,1.6322463768115942,6.12280701754386,159,0.8385627530364372,-2.006289308176101,37,0.8942004504504504,0.9144061968723617,21.959376150912597,0.515439255939906,0.4612532731587876,18,0.08809507576866926
side=BUY AND score>=7 | TP=30 SL=50,side=BUY AND score>=7,30,50,224,53.57142857142857,1.010554988083078,0.13839285714285715,31.0,473.0,21.986607142857142,20.15625,0.8758143230053342,28.089439936932376,76,1.223446893787575,2.9342105263157894,148,0.9009798865394534,-1.2972972972972974,38,1.0223880597014925,0.8161652990982131,6.286600008720854,0.36455252262105037,0.44585870964752994,16,0.2715660657641733
regime=OR_mid AND score>=7 | TP=50 SL=50,regime=OR_mid AND score>=7,50,50,154,50.0,1.009020618556701,0.13636363636363635,21.0,378.0,22.305194805194805,21.818181818181817,1.009020618556701,33.14595731061088,42,1.3917710196779964,5.214285714285714,112,0.8880723572639909,-1.7678571428571428,32,1.0,0.7838412677954167,6.054530814900441,0.4161487515474556,0.48210768005462845,14,0.22790792135839144
range<=140 | TP=50 SL=70,range<=140,50,70,383,49.60835509138381,1.0085046066619419,0.12532637075718014,48.0,859.0,20.287206266318538,19.765013054830288,1.0244283636092357,33.032666060324125,73,1.4193548387096775,5.52054794520548,310,0.9241938928037583,-1.1451612903225807,37,1.1277777777777778,0.6676784313678629,6.24307772784129,0.37809027959382197,0.47284003387875867,17,0.3211337368631953
score>=8 | TP=30 SL=50,score>=8,30,50,434,53.686635944700456,1.0093945720250521,0.12442396313364056,54.0,780.0,22.131336405529954,19.504608294930875,0.8707652745795514,28.342888983005615,134,1.3525798525798525,4.2835820895522385,300,0.8737864077669902,-1.7333333333333334,38,1.0,0.5717001541229104,10.326605062994107,0.29344774104360594,0.3541319613612706,17,0.2222218744994126
regime=OR_mid AND score>=8 | TP=80 SL=100,regime=OR_mid AND score>=8,80,100,148,50.67567567567568,1.0075376884422111,0.12162162162162163,18.0,358.0,21.993243243243242,21.62162162162162,0.9806700167504186,36.824811475547264,42,1.493127147766323,6.833333333333333,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9086057499769895,5.729402522920021,0.4233943277774019,0.4736738693469058,14,0.20759509517820773
regime=OR_mid AND score>=8 | TP=100 SL=100,regime=OR_mid AND score>=8,100,100,148,50.67567567567568,1.0075376884422111,0.12162162162162163,18.0,358.0,21.993243243243242,21.62162162162162,0.9806700167504186,36.824811475547264,42,1.493127147766323,6.833333333333333,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9086057499769895,5.729402522920021,0.4233943277774019,0.4736738693469058,14,0.20759509517820773
regime=OR_mid AND score>=8 | TP=120 SL=100,regime=OR_mid AND score>=8,120,100,148,50.67567567567568,1.0075376884422111,0.12162162162162163,18.0,358.0,21.993243243243242,21.62162162162162,0.9806700167504186,36.824811475547264,42,1.493127147766323,6.833333333333333,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9086057499769895,5.729402522920021,0.4233943277774019,0.4736738693469058,14,0.20759509517820773
regime=OR_mid AND score>=8 | TP=150 SL=100,regime=OR_mid AND score>=8,150,100,148,50.67567567567568,1.0075376884422111,0.12162162162162163,18.0,358.0,21.993243243243242,21.62162162162162,0.9806700167504186,36.824811475547264,42,1.493127147766323,6.833333333333333,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9086057499769895,5.729402522920021,0.4233943277774019,0.4736738693469058,14,0.20759509517820773
regime=OR_mid AND score>=8 | TP=200 SL=100,regime=OR_mid AND score>=8,200,100,148,50.67567567567568,1.0075376884422111,0.12162162162162163,18.0,358.0,21.993243243243242,21.62162162162162,0.9806700167504186,36.824811475547264,42,1.493127147766323,6.833333333333333,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9086057499769895,5.729402522920021,0.4233943277774019,0.4736738693469058,14,0.20759509517820773
range>=80 | TP=20 SL=70,range>=80,20,70,468,59.401709401709404,1.010174418604651,0.11965811965811966,56.0,796.0,22.542735042735043,20.224358974358974,0.690406976744186,26.09689157305523,173,1.359447004608295,3.606936416184971,295,0.8492569002123143,-1.9254237288135594,39,1.057823905109489,0.6800468239024987,8.424002547624317,0.3361809979817066,0.4503896948121509,17,0.265209427012933
regime=OR_mid AND score>=7 | TP=80 SL=100,regime=OR_mid AND score>=7,80,100,154,50.649350649350644,1.0071202531645569,0.11688311688311688,18.0,458.0,22.305194805194805,21.818181818181817,0.9812966569295684,37.446423261216076,42,1.493127147766323,6.833333333333333,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.9046271827509546,5.5685544116765175,0.41646445380706787,0.48210768005462845,14,0.20850667775695067
regime=OR_mid AND score>=7 | TP=100 SL=100,regime=OR_mid AND score>=7,100,100,154,50.649350649350644,1.0071202531645569,0.11688311688311688,18.0,458.0,22.305194805194805,21.818181818181817,0.9812966569295684,37.446423261216076,42,1.493127147766323,6.833333333333333,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.9046271827509546,5.5685544116765175,0.41646445380706787,0.48210768005462845,14,0.20850667775695067
