setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
regime=OR_large AND score>=7 | TP=40 SL=100,regime=OR_large AND score>=7,40,100,152,65.78947368421053,1.7965580823601721,8.526315789473685,1296.0,204.0,25.32894736842105,19.638157894736842,0.9342102028272895,31.585256718377988,84,2.2402912621359223,12.166666666666666,68,1.3412204234122043,4.029411764705882,32,0.7113821138211383,1.1670885384167051,2.189347330403555,0.47745595737068147,0.7174254748383977,11,53.45260414599904
regime=OR_large AND score>=7 | TP=80 SL=30,regime=OR_large AND score>=7,80,30,152,58.55263157894737,1.8236824983734548,8.328947368421053,1266.0,144.0,25.32894736842105,19.638157894736842,1.2909213190733444,29.862549652236847,84,2.1180048661800486,10.94047619047619,68,1.4853146853146852,5.102941176470588,32,0.9446428571428571,1.0346331778842526,2.167157960634394,0.5435873828762396,0.7174254748383977,11,53.33861045154904
regime=OR_large AND score>=7 | TP=100 SL=30,regime=OR_large AND score>=7,100,30,152,58.55263157894737,1.8236824983734548,8.328947368421053,1266.0,144.0,25.32894736842105,19.638157894736842,1.2909213190733444,29.862549652236847,84,2.1180048661800486,10.94047619047619,68,1.4853146853146852,5.102941176470588,32,0.9446428571428571,1.0346331778842526,2.167157960634394,0.5435873828762396,0.7174254748383977,11,53.33861045154904
regime=OR_large AND score>=7 | TP=120 SL=30,regime=OR_large AND score>=7,120,30,152,58.55263157894737,1.8236824983734548,8.328947368421053,1266.0,144.0,25.32894736842105,19.638157894736842,1.2909213190733444,29.862549652236847,84,2.1180048661800486,10.94047619047619,68,1.4853146853146852,5.102941176470588,32,0.9446428571428571,1.0346331778842526,2.167157960634394,0.5435873828762396,0.7174254748383977,11,53.33861045154904
regime=OR_large AND score>=7 | TP=150 SL=30,regime=OR_large AND score>=7,150,30,152,58.55263157894737,1.8236824983734548,8.328947368421053,1266.0,144.0,25.32894736842105,19.638157894736842,1.2909213190733444,29.862549652236847,84,2.1180048661800486,10.94047619047619,68,1.4853146853146852,5.102941176470588,32,0.9446428571428571,1.0346331778842526,2.167157960634394,0.5435873828762396,0.7174254748383977,11,53.33861045154904
regime=OR_large AND score>=7 | TP=200 SL=30,regime=OR_large AND score>=7,200,30,152,58.55263157894737,1.8236824983734548,8.328947368421053,1266.0,144.0,25.32894736842105,19.638157894736842,1.2909213190733444,29.862549652236847,84,2.1180048661800486,10.94047619047619,68,1.4853146853146852,5.102941176470588,32,0.9446428571428571,1.0346331778842526,2.167157960634394,0.5435873828762396,0.7174254748383977,11,53.33861045154904
or_regime=OR_large | TP=80 SL=100,or_regime=OR_large,80,100,192,61.979166666666664,1.6411960132890366,8.041666666666666,1544.0,223.0,24.713541666666668,19.84375,1.0067841089924343,36.71637911936576,108,1.7194539249146759,9.75925925925926,84,1.5196182396606575,5.833333333333333,34,1.2682926829268293,0.9972356533673328,2.1061662049036043,0.4715505420063111,0.8212547948909115,11,53.32140158556285
regime=OR_large AND score>=6 | TP=100 SL=60,regime=OR_large AND score>=6,100,60,188,61.170212765957444,1.654189706507869,8.180851063829786,1538.0,243.0,24.76063829787234,20.159574468085108,1.0500508571745604,36.649798903945225,107,1.7940340909090908,10.448598130841122,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0051479573706892,2.1728105251449983,0.48395591332546123,0.8200297541056408,11,53.069998323102425
regime=OR_large AND score>=7 | TP=50 SL=80,regime=OR_large AND score>=7,50,80,152,64.47368421052632,1.7550085861476818,8.677631578947368,1319.0,204.0,25.32894736842105,19.638157894736842,0.9670455474691306,33.94768120585109,84,2.0413135593220337,11.702380952380953,68,1.4184308841843087,4.9411764705882355,32,0.8333333333333334,1.16136809700853,2.1712451835391335,0.47869543781671614,0.7174254748383977,12,52.94604057821532
regime=OR_large AND score>=6 | TP=120 SL=60,regime=OR_large AND score>=6,120,60,188,61.170212765957444,1.6524883028498512,8.159574468085106,1534.0,243.0,24.76063829787234,20.159574468085108,1.0489708357220793,36.59733288300535,107,1.7911931818181819,10.411214953271028,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0054689007371689,2.174201771011229,0.48395591332546123,0.8200297541056408,11,52.85649976840735
regime=OR_large AND score>=6 | TP=150 SL=60,regime=OR_large AND score>=6,150,60,188,61.170212765957444,1.6524883028498512,8.159574468085106,1534.0,243.0,24.76063829787234,20.159574468085108,1.0489708357220793,36.59733288300535,107,1.7911931818181819,10.411214953271028,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0054689007371689,2.174201771011229,0.48395591332546123,0.8200297541056408,11,52.85649976840735
regime=OR_large AND score>=6 | TP=200 SL=60,regime=OR_large AND score>=6,200,60,188,61.170212765957444,1.6524883028498512,8.159574468085106,1534.0,243.0,24.76063829787234,20.159574468085108,1.0489708357220793,36.59733288300535,107,1.7911931818181819,10.411214953271028,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0054689007371689,2.174201771011229,0.48395591332546123,0.8200297541056408,11,52.85649976840735
or_regime=OR_large | TP=60 SL=80,or_regime=OR_large,60,80,192,61.979166666666664,1.6330121491411813,7.869791666666667,1511.0,223.0,24.713541666666668,19.84375,1.0017637553555145,35.92719111949158,108,1.7042936288088644,9.416666666666666,84,1.5238600212089077,5.880952380952381,34,1.2682926829268293,0.9983963369084647,2.108041343064892,0.4715505420063111,0.8212547948909115,10,52.34180082497937
regime=OR_large AND score>=6 | TP=100 SL=70,regime=OR_large AND score>=6,100,70,188,61.170212765957444,1.6430080270384453,8.095744680851064,1522.0,243.0,24.76063829787234,20.159574468085108,1.0429529215113609,36.82421580286485,107,1.773876404494382,10.299065420560748,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0080878977873502,2.1802532146440523,0.48395591332546123,0.8200297541056408,11,52.05210032649128
regime=OR_large AND score>=8 | TP=50 SL=30,regime=OR_large AND score>=8,50,30,143,60.13986013986013,1.844989185291997,8.195804195804195,1172.0,94.0,25.41958041958042,18.496503496503497,1.22284166932144,28.176070843656376,79,1.9689119170984455,9.468354430379748,64,1.689430894308943,6.625,32,0.9545454545454546,0.9911550527985236,2.132758346950045,0.5271726100943258,0.693774692275738,11,52.01278893155191
or_regime=OR_large | TP=100 SL=50,or_regime=OR_large,100,50,192,60.416666666666664,1.6586620926243567,8.0,1536.0,193.0,24.713541666666668,19.84375,1.0867096468918198,35.29412688635543,108,1.6968641114982579,9.25925925925926,84,1.5975473801560758,6.380952380952381,34,1.1385714285714288,1.0111627528204408,2.2187899802798006,0.4782348564644704,0.8212547948909115,11,51.90519225957463
regime=OR_large AND score>=6 | TP=120 SL=70,regime=OR_large AND score>=6,120,70,188,61.170212765957444,1.641318124207858,8.074468085106384,1518.0,243.0,24.76063829787234,20.159574468085108,1.0418802005841186,36.771949132879286,107,1.771067415730337,10.261682242990654,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0084097972029817,2.181653650554203,0.48395591332546123,0.8200297541056408,11,51.8411835079937
regime=OR_large AND score>=6 | TP=150 SL=70,regime=OR_large AND score>=6,150,70,188,61.170212765957444,1.641318124207858,8.074468085106384,1518.0,243.0,24.76063829787234,20.159574468085108,1.0418802005841186,36.771949132879286,107,1.771067415730337,10.261682242990654,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0084097972029817,2.181653650554203,0.48395591332546123,0.8200297541056408,11,51.8411835079937
