fecha,window_start_utc,window_end_utc_exclusive,has_p0,event_count,valid
2022-09-28,2022-09-28T13:30:00+00:00,2022-09-28T13:30:05+00:00,True,785,True
2022-09-28,2022-09-28T13:30:05+00:00,2022-09-28T13:30:10+00:00,True,273,True
2022-09-28,2022-09-28T13:30:10+00:00,2022-09-28T13:30:15+00:00,True,264,True
2022-09-28,2022-09-28T13:30:15+00:00,2022-09-28T13:30:20+00:00,True,239,True
2022-09-28,2022-09-28T13:30:20+00:00,2022-09-28T13:30:25+00:00,True,256,True
2022-09-28,2022-09-28T13:30:25+00:00,2022-09-28T13:30:30+00:00,True,143,True
2022-09-28,2022-09-28T13:30:30+00:00,2022-09-28T13:30:35+00:00,True,366,True
2022-09-28,2022-09-28T13:30:35+00:00,2022-09-28T13:30:40+00:00,True,270,True
2022-09-28,2022-09-28T13:30:40+00:00,2022-09-28T13:30:45+00:00,True,265,True
2022-09-28,2022-09-28T13:30:45+00:00,2022-09-28T13:30:50+00:00,True,368,True
2022-09-28,2022-09-28T13:30:50+00:00,2022-09-28T13:30:55+00:00,True,277,True
2022-09-28,2022-09-28T13:30:55+00:00,2022-09-28T13:31:00+00:00,True,193,True
2022-09-28,2022-09-28T13:31:00+00:00,2022-09-28T13:31:05+00:00,True,209,True
2022-09-28,2022-09-28T13:31:05+00:00,2022-09-28T13:31:10+00:00,True,239,True
2022-09-28,2022-09-28T13:31:10+00:00,2022-09-28T13:31:15+00:00,True,249,True
2022-09-28,2022-09-28T13:31:15+00:00,2022-09-28T13:31:20+00:00,True,218,True
2022-09-28,2022-09-28T13:31:20+00:00,2022-09-28T13:31:25+00:00,True,289,True
2022-09-28,2022-09-28T13:31:25+00:00,2022-09-28T13:31:30+00:00,True,203,True
2022-09-28,2022-09-28T13:31:30+00:00,2022-09-28T13:31:35+00:00,True,236,True
2022-09-28,2022-09-28T13:31:35+00:00,2022-09-28T13:31:40+00:00,True,231,True
2022-09-28,2022-09-28T13:31:40+00:00,2022-09-28T13:31:45+00:00,True,201,True
2022-09-28,2022-09-28T13:31:45+00:00,2022-09-28T13:31:50+00:00,True,190,True
2022-09-28,2022-09-28T13:31:50+00:00,2022-09-28T13:31:55+00:00,True,245,True
2022-09-28,2022-09-28T13:31:55+00:00,2022-09-28T13:32:00+00:00,True,234,True
2022-09-28,2022-09-28T13:32:00+00:00,2022-09-28T13:32:05+00:00,True,222,True
2022-09-28,2022-09-28T13:32:05+00:00,2022-09-28T13:32:10+00:00,True,190,True
2022-09-28,2022-09-28T13:32:10+00:00,2022-09-28T13:32:15+00:00,True,160,True
2022-09-28,2022-09-28T13:32:15+00:00,2022-09-28T13:32:20+00:00,True,158,True
2022-09-28,2022-09-28T13:32:20+00:00,2022-09-28T13:32:25+00:00,True,119,True
2022-10-11,2022-10-11T13:29:00+00:00,2022-10-11T13:29:05+00:00,True,51,True
2022-10-11,2022-10-11T13:29:05+00:00,2022-10-11T13:29:10+00:00,True,33,True
2022-10-11,2022-10-11T13:29:10+00:00,2022-10-11T13:29:15+00:00,True,23,True
