fecha,window_start_utc,window_end_utc_exclusive,orientation,p0,event_count,positive_excursion_ticks,adverse_excursion_ticks,push_exists,push_ordinal_in_window,sequence_B_exists,sequence_A_exists,sequence_B_max_dwell_s,sequence_A_max_dwell_s
2022-04-26,2022-04-26T13:30:00+00:00,2022-04-26T13:30:05+00:00,PLUS,13443.75,541,3.0,66.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:30:00+00:00,2022-04-26T13:30:05+00:00,MINUS,13443.75,541,66.0,3.0,True,35.0,True,False,4.598899363,0.0
2022-04-26,2022-04-26T13:30:05+00:00,2022-04-26T13:30:10+00:00,PLUS,13430.5,313,39.0,10.0,True,179.0,True,False,2.017861725,0.0
2022-04-26,2022-04-26T13:30:05+00:00,2022-04-26T13:30:10+00:00,MINUS,13430.5,313,10.0,39.0,True,108.0,False,True,0.0,2.092720895
2022-04-26,2022-04-26T13:30:10+00:00,2022-04-26T13:30:15+00:00,PLUS,13439.25,251,43.0,5.0,True,25.0,True,False,3.848643983,0.0
2022-04-26,2022-04-26T13:30:10+00:00,2022-04-26T13:30:15+00:00,MINUS,13439.25,251,5.0,43.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:30:15+00:00,2022-04-26T13:30:20+00:00,PLUS,13449.5,295,5.0,76.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:30:15+00:00,2022-04-26T13:30:20+00:00,MINUS,13449.5,295,76.0,5.0,True,18.0,True,False,3.626742657,0.0
2022-04-26,2022-04-26T13:30:20+00:00,2022-04-26T13:30:25+00:00,PLUS,13433.25,513,0.0,71.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:30:20+00:00,2022-04-26T13:30:25+00:00,MINUS,13433.25,513,71.0,0.0,True,10.0,True,False,4.477468567,0.0
2022-04-26,2022-04-26T13:30:25+00:00,2022-04-26T13:30:30+00:00,PLUS,13420.75,242,5.0,30.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:30:25+00:00,2022-04-26T13:30:30+00:00,MINUS,13420.75,242,30.0,5.0,True,63.0,True,False,1.978871214,0.0
2022-04-26,2022-04-26T13:30:30+00:00,2022-04-26T13:30:35+00:00,PLUS,13422.0,263,21.0,8.0,True,36.0,True,False,0.119779368,0.0
2022-04-26,2022-04-26T13:30:30+00:00,2022-04-26T13:30:35+00:00,MINUS,13422.0,263,8.0,21.0,True,12.0,False,True,0.0,1.278981282
2022-04-26,2022-04-26T13:30:35+00:00,2022-04-26T13:30:40+00:00,PLUS,13421.5,348,92.0,19.0,True,84.0,True,False,1.832106737,0.0
2022-04-26,2022-04-26T13:30:35+00:00,2022-04-26T13:30:40+00:00,MINUS,13421.5,348,19.0,92.0,True,11.0,True,True,0.091310018,2.136811859
2022-04-27,2022-04-27T13:29:00+00:00,2022-04-27T13:29:05+00:00,PLUS,13021.75,31,1.0,6.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:00+00:00,2022-04-27T13:29:05+00:00,MINUS,13021.75,31,6.0,1.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:05+00:00,2022-04-27T13:29:10+00:00,PLUS,13020.75,49,9.0,1.0,True,39.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:05+00:00,2022-04-27T13:29:10+00:00,MINUS,13020.75,49,1.0,9.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:10+00:00,2022-04-27T13:29:15+00:00,PLUS,13022.25,14,0.0,8.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:10+00:00,2022-04-27T13:29:15+00:00,MINUS,13022.25,14,8.0,0.0,True,13.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:15+00:00,2022-04-27T13:29:20+00:00,PLUS,13020.25,21,8.0,1.0,True,8.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:15+00:00,2022-04-27T13:29:20+00:00,MINUS,13020.25,21,1.0,8.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:20+00:00,2022-04-27T13:29:25+00:00,PLUS,13020.75,13,0.0,6.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:20+00:00,2022-04-27T13:29:25+00:00,MINUS,13020.75,13,6.0,0.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:25+00:00,2022-04-27T13:29:30+00:00,PLUS,13019.25,75,15.0,4.0,True,47.0,True,False,2.3872e-05,0.0
2022-04-27,2022-04-27T13:29:25+00:00,2022-04-27T13:29:30+00:00,MINUS,13019.25,75,4.0,15.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:30+00:00,2022-04-27T13:29:35+00:00,PLUS,13022.25,77,19.0,0.0,True,14.0,True,False,0.568331054,0.0
2022-04-27,2022-04-27T13:29:30+00:00,2022-04-27T13:29:35+00:00,MINUS,13022.25,77,0.0,19.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:35+00:00,2022-04-27T13:29:40+00:00,PLUS,13024.25,16,5.0,2.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:35+00:00,2022-04-27T13:29:40+00:00,MINUS,13024.25,16,2.0,5.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:40+00:00,2022-04-27T13:29:45+00:00,PLUS,13024.0,25,0.0,7.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:40+00:00,2022-04-27T13:29:45+00:00,MINUS,13024.0,25,7.0,0.0,True,21.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:45+00:00,2022-04-27T13:29:50+00:00,PLUS,13023.0,51,8.0,4.0,True,44.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:45+00:00,2022-04-27T13:29:50+00:00,MINUS,13023.0,51,4.0,8.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:50+00:00,2022-04-27T13:29:55+00:00,PLUS,13025.0,31,0.0,13.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:50+00:00,2022-04-27T13:29:55+00:00,MINUS,13025.0,31,13.0,0.0,True,5.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:29:55+00:00,2022-04-27T13:30:00+00:00,PLUS,13022.25,137,13.0,8.0,True,20.0,False,True,0.0,0.003712228
2022-04-27,2022-04-27T13:29:55+00:00,2022-04-27T13:30:00+00:00,MINUS,13022.25,137,8.0,13.0,True,116.0,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:00+00:00,2022-04-27T13:30:05+00:00,PLUS,13021.0,841,20.0,34.0,True,83.0,True,True,0.01722019,2.637020353
2022-04-27,2022-04-27T13:30:00+00:00,2022-04-27T13:30:05+00:00,MINUS,13021.0,841,34.0,20.0,True,34.0,True,True,0.797448048,0.587669108
2022-04-27,2022-04-27T13:30:05+00:00,2022-04-27T13:30:10+00:00,PLUS,13013.75,521,24.0,15.0,True,194.0,True,True,0.373321386,0.026942642
2022-04-27,2022-04-27T13:30:05+00:00,2022-04-27T13:30:10+00:00,MINUS,13013.75,521,15.0,24.0,True,48.0,True,True,0.00196764,0.833819714
2022-04-27,2022-04-27T13:30:10+00:00,2022-04-27T13:30:15+00:00,PLUS,13014.75,304,25.0,16.0,True,52.0,True,True,0.426210514,0.28480305
2022-04-27,2022-04-27T13:30:10+00:00,2022-04-27T13:30:15+00:00,MINUS,13014.75,304,16.0,25.0,True,170.0,True,True,0.03561597,0.000628788
2022-04-27,2022-04-27T13:30:15+00:00,2022-04-27T13:30:20+00:00,PLUS,13012.25,262,36.0,9.0,True,27.0,True,True,1.098849919,0.207100694
2022-04-27,2022-04-27T13:30:15+00:00,2022-04-27T13:30:20+00:00,MINUS,13012.25,262,9.0,36.0,True,115.0,False,True,0.0,1.248049925
2022-04-27,2022-04-27T13:30:20+00:00,2022-04-27T13:30:25+00:00,PLUS,13020.75,331,35.0,3.0,True,6.0,True,False,2.941348838,0.0
2022-04-27,2022-04-27T13:30:20+00:00,2022-04-27T13:30:25+00:00,MINUS,13020.75,331,3.0,35.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:25+00:00,2022-04-27T13:30:30+00:00,PLUS,13028.0,304,47.0,5.0,True,44.0,True,False,3.655267577,0.0
2022-04-27,2022-04-27T13:30:25+00:00,2022-04-27T13:30:30+00:00,MINUS,13028.0,304,5.0,47.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:30+00:00,2022-04-27T13:30:35+00:00,PLUS,13038.5,321,32.0,19.0,True,26.0,True,True,1.645825963,0.497278486
2022-04-27,2022-04-27T13:30:30+00:00,2022-04-27T13:30:35+00:00,MINUS,13038.5,321,19.0,32.0,True,21.0,True,True,0.250840394,1.785154795
2022-04-27,2022-04-27T13:30:35+00:00,2022-04-27T13:30:40+00:00,PLUS,13042.75,263,44.0,1.0,True,11.0,True,False,4.408032739,0.0
2022-04-27,2022-04-27T13:30:35+00:00,2022-04-27T13:30:40+00:00,MINUS,13042.75,263,1.0,44.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:40+00:00,2022-04-27T13:30:45+00:00,PLUS,13051.0,265,4.0,82.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:40+00:00,2022-04-27T13:30:45+00:00,MINUS,13051.0,265,82.0,4.0,True,31.0,True,False,3.175531761,0.0
2022-04-27,2022-04-27T13:30:45+00:00,2022-04-27T13:30:50+00:00,PLUS,13036.5,240,76.0,4.0,True,19.0,True,False,3.771423401,0.0
2022-04-27,2022-04-27T13:30:45+00:00,2022-04-27T13:30:50+00:00,MINUS,13036.5,240,4.0,76.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:50+00:00,2022-04-27T13:30:55+00:00,PLUS,13054.0,365,57.0,17.0,True,113.0,True,False,2.003768019,0.0
2022-04-27,2022-04-27T13:30:50+00:00,2022-04-27T13:30:55+00:00,MINUS,13054.0,365,17.0,57.0,True,49.0,True,True,0.110628356,2.016658209
2022-04-27,2022-04-27T13:30:55+00:00,2022-04-27T13:31:00+00:00,PLUS,13068.25,261,5.0,28.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:30:55+00:00,2022-04-27T13:31:00+00:00,MINUS,13068.25,261,28.0,5.0,True,21.0,True,False,0.605735004,0.0
2022-04-27,2022-04-27T13:31:00+00:00,2022-04-27T13:31:05+00:00,PLUS,13067.5,464,8.0,32.0,True,282.0,False,True,0.0,2.768494327
2022-04-27,2022-04-27T13:31:00+00:00,2022-04-27T13:31:05+00:00,MINUS,13067.5,464,32.0,8.0,True,2.0,True,True,2.367351583,0.002684292
2022-04-27,2022-04-27T13:31:05+00:00,2022-04-27T13:31:10+00:00,PLUS,13061.5,243,50.0,9.0,True,66.0,True,False,1.906016985,0.0
2022-04-27,2022-04-27T13:31:05+00:00,2022-04-27T13:31:10+00:00,MINUS,13061.5,243,9.0,50.0,True,11.0,False,True,0.0,3.525203435
2022-04-27,2022-04-27T13:31:10+00:00,2022-04-27T13:31:15+00:00,PLUS,13071.25,267,4.0,48.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:31:10+00:00,2022-04-27T13:31:15+00:00,MINUS,13071.25,267,48.0,4.0,True,23.0,True,False,1.274284459,0.0
2022-04-27,2022-04-27T13:31:15+00:00,2022-04-27T13:31:20+00:00,PLUS,13060.5,307,4.0,31.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:31:15+00:00,2022-04-27T13:31:20+00:00,MINUS,13060.5,307,31.0,4.0,True,11.0,True,False,0.788579174,0.0
2022-04-27,2022-04-27T13:31:20+00:00,2022-04-27T13:31:25+00:00,PLUS,13058.75,213,0.0,49.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:31:20+00:00,2022-04-27T13:31:25+00:00,MINUS,13058.75,213,49.0,0.0,True,7.0,True,False,3.897508147,0.0
2022-04-27,2022-04-27T13:31:25+00:00,2022-04-27T13:31:30+00:00,PLUS,13049.25,231,5.0,38.0,False,,False,False,0.0,0.0
2022-04-27,2022-04-27T13:31:25+00:00,2022-04-27T13:31:30+00:00,MINUS,13049.25,231,38.0,5.0,True,58.0,True,False,2.802550725,0.0
